batch,cell_id,commit,device,diffusion,dimension,ess_threshold,family,final_ess_fraction,groups,initialization,integrability_certificate,kind,ks_mean,mean_absolute_error,method,minimum_ess_fraction,particles,peak_gpu_bytes,positive_mass_error,recorded_ks_mean,recorded_mean_absolute_error,recorded_positive_mass_error,recorded_variance_relative_error,recorded_w1_mean,relative_path,resampling_count,sampling,score_evaluations,seconds,seed,status,steps,u_max,variance_relative_error,w1_mean
4,800,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,8,0.5,gaussian,0.8110552542198203,64,standard normal at finite u_max,finite,oracle,0.05627259156614469,0.01236575071194257,full,0.052574841785501064,32768,1349558272,1.3000539089702556e-08,0.05627272665269106,0.0123657507119425,1.3000722498546224e-08,0.16070338654795935,0.014897431478108148,oracle/task_000/cell_0800,90,with_replacement,1073741824,6.571209529414773,1,completed,512,20.0,0.16070338654795932,0.01489772399509412
4,840,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,8,0.5,gaussian,0.9929511736035049,64,standard normal at finite u_max,finite,oracle,0.07339293385622433,0.0178280059344241,full,0.07627547381519913,32768,1349558272,1.3000539089702556e-08,0.07339307297175456,0.017828005934424282,1.3000722942635434e-08,0.1611679796198335,0.019940249224005682,oracle/task_000/cell_0840,90,with_replacement,1073741824,6.581283985637128,3,completed,512,20.0,0.16116797961983384,0.019940402975792866
4,880,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,8,0.5,mixture,0.9848151008983252,64,standard normal at finite u_max,finite,oracle,0.3942438641058352,0.8886383637582563,full,0.040093687828749926,32768,1349558272,0.3538601652966784,0.3942439255147525,0.8886383637582573,0.3538601652966755,0.9884636767530777,0.8898863011512228,oracle/task_000/cell_0880,45,with_replacement,1073741824,6.5669714622199535,0,completed,512,20.0,0.9884636767530777,0.8898861561293687
4,920,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,8,0.5,mixture,0.7054221741856977,64,standard normal at finite u_max,finite,oracle,0.2276926945979913,0.5184866480380477,full,0.20101695801882768,32768,1349558272,0.2044476963378798,0.2276927558955073,0.5184866480380477,0.2044476963378818,0.2957021163707539,0.5218711021029427,oracle/task_000/cell_0920,37,with_replacement,1073741824,6.566489499993622,2,completed,512,20.0,0.2957021163707536,0.5218711384675537
4,960,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,8,0.5,mixture,0.9202091223567895,64,standard normal at finite u_max,finite,oracle,0.3448557576708564,0.8087541653512939,full,0.19645784910310055,32768,1349558272,0.3253789848891977,0.3448557773160573,0.808754165351294,0.32537898488919675,0.6827601215085515,0.8089975609620735,oracle/task_000/cell_0960,38,with_replacement,1073741824,6.567833837121725,4,completed,512,20.0,0.6827601215085514,0.8089973352355673
4,1000,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,8,0.5,weak_mixture,0.7414877217921875,64,standard normal at finite u_max,finite,oracle,0.020487221179095773,0.020327858395487418,full,0.47357690155999266,32768,1349558272,0.01633891988034135,0.02048722094632599,0.020327858395487446,0.01633891988034137,0.02784035489851476,0.021682420590472314,oracle/task_000/cell_1000,4,with_replacement,1073741824,6.555884030647576,1,completed,512,20.0,0.02784035489851447,0.02168253763322323
4,1040,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,8,0.5,weak_mixture,0.7839401875957523,64,standard normal at finite u_max,finite,oracle,0.02317139574552407,0.02277403510959692,full,0.47985347874616646,32768,1349558272,0.01831621690501834,0.023171393813689038,0.02277403510959692,0.018316216817683112,0.05026522821858774,0.027036181958569026,oracle/task_000/cell_1040,4,with_replacement,1073741824,6.554503602907062,3,completed,512,20.0,0.05026522821858816,0.027036028985146808
2,1,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,1,0.5,gaussian,0.8717301104687751,64,standard normal at finite u_max,infinite,oracle,0.18973541795751503,0.05088441364196705,unbiased,0.0001228193580552381,8192,2821632,1.3000539089702556e-08,0.18973537875049784,0.05088441364196705,1.3000722942635434e-08,0.1536384156064342,0.05093998234154384,oracle/task_001/cell_0001,155,with_replacement,8388608,0.7711807545274496,0,completed,512,20.0,0.15363841560643432,0.050943716031743594
4,41,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,1,0.5,gaussian,0.9156380569927488,64,standard normal at finite u_max,infinite,oracle,0.1355043678828014,0.037955387599423074,unbiased,0.00015298445986965386,8192,5180928,1.3000539089702556e-08,0.13550430481596099,0.03795538759942252,1.3000722165479317e-08,0.009263844536598564,0.03796262181868092,oracle/task_001/cell_0041,135,with_replacement,16777216,0.7588700782507658,3,completed,512,20.0,0.009263844536597898,0.03796175067177404
8,81,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,1,0.5,gaussian,0.9541598382517735,64,standard normal at finite u_max,infinite,oracle,0.05502415962377505,0.013473321040643915,unbiased,0.28293294729600443,8192,9899520,1.3000539089702556e-08,0.055024358425421194,0.013473321040643471,1.300072227650162e-08,0.12045204970069012,0.013549395179722467,oracle/task_001/cell_0081,57,with_replacement,134217728,2.8322872668504715,1,completed,2048,20.0,0.12045204970068957,0.01355125850806803
2,121,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,1,0.5,gaussian,0.611473730464252,64,standard normal at finite u_max,infinite,oracle,0.24413300152571293,0.06655594351434391,unbiased,0.1112060831844385,8192,7015936,1.3000539089702556e-08,0.24413294121315998,0.06655594351434369,1.300072272059083e-08,0.19664700717841788,0.06657390306921761,oracle/task_001/cell_0121,175,without_replacement,33554432,2.808010473847389,4,completed,2048,20.0,0.19664700717841777,0.0665736657815961
4,161,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,8,0.5,gaussian,0.8328389899084637,64,standard normal at finite u_max,infinite,oracle,0.15835388168507086,0.026501551177392918,unbiased,0.0001226003431054411,8192,41971712,1.3000539089702556e-08,0.15835397843253937,0.026501551177393,1.300072227650162e-08,0.46994779171170115,0.03804205879792388,oracle/task_001/cell_0161,232,without_replacement,16777216,0.7837473824620247,2,completed,512,20.0,0.46994779171170104,0.03804155436866831
8,201,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,8,0.5,gaussian,0.9326088343075611,64,standard normal at finite u_max,infinite,oracle,0.0815664905102606,0.02084376777335714,unbiased,0.0030740507916943607,8192,77885440,1.3000539089702556e-08,0.08156660450707753,0.020843767773357058,1.3000722498546224e-08,0.15135240726448637,0.022765173231696835,oracle/task_001/cell_0201,437,without_replacement,134217728,3.0032242499291897,0,completed,2048,20.0,0.15135240726448634,0.022765588972744326
2,241,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,8,0.5,gaussian,0.9998141538095319,64,standard normal at finite u_max,finite,oracle,0.10428131456535951,0.025269664601794084,tail,0.3237385227468989,8192,19820544,1.3000539089702556e-08,0.10428138728165896,0.02526966460179428,1.300072316468004e-08,0.18537227144690768,0.02851432760172187,oracle/task_001/cell_0241,95,with_replacement,33554432,3.9445384349673986,3,completed,2048,20.0,0.18537227144690804,0.028514146678550394
