family,groups,dimension,steps,batch,finite_normalizer,failure_step,coordinate_terminal_variance
gaussian,64,1,2048,11,False,1441,
gaussian,64,1,2048,12,False,1443,
gaussian,64,1,2048,13,False,1445,
gaussian,64,1,2048,14,False,1447,
gaussian,64,1,2048,15,False,1449,
gaussian,64,1,2048,16,False,1451,
gaussian,64,1,2048,17,False,1453,
gaussian,64,1,2048,18,False,1456,
gaussian,64,1,2048,19,False,1459,
gaussian,64,1,2048,20,False,1462,
gaussian,64,1,2048,21,False,1465,
gaussian,64,1,2048,22,False,1468,
gaussian,64,1,2048,23,False,1471,
gaussian,64,1,2048,24,False,1475,
gaussian,64,1,2048,25,False,1479,
gaussian,64,1,2048,26,False,1483,
gaussian,64,1,2048,27,False,1487,
gaussian,64,1,2048,28,False,1492,
gaussian,64,1,2048,29,False,1496,
gaussian,64,1,2048,30,False,1501,
gaussian,64,1,2048,31,False,1506,
gaussian,64,1,2048,32,False,1512,
gaussian,64,1,2048,33,False,1517,
gaussian,64,1,2048,34,False,1524,
gaussian,64,1,2048,35,False,1530,
gaussian,64,1,2048,36,False,1537,
gaussian,64,1,2048,37,False,1544,
gaussian,64,1,2048,38,False,1551,
gaussian,64,1,2048,39,False,1559,
gaussian,64,1,2048,40,False,1567,
gaussian,64,1,2048,41,False,1576,
gaussian,64,1,2048,42,False,1586,
gaussian,64,1,2048,43,False,1595,
gaussian,64,1,2048,44,False,1606,
gaussian,64,1,2048,45,False,1617,
gaussian,64,1,2048,46,False,1629,
gaussian,64,1,2048,47,False,1642,
gaussian,64,1,2048,48,False,1656,
gaussian,64,1,2048,49,False,1670,
gaussian,64,1,2048,50,False,1687,
gaussian,64,1,2048,51,False,1704,
gaussian,64,1,2048,52,False,1724,
gaussian,64,1,2048,53,False,1746,
gaussian,64,1,2048,54,False,1772,
gaussian,64,1,2048,55,False,1801,
gaussian,64,1,2048,56,False,1837,
gaussian,64,1,2048,57,False,1882,
gaussian,64,1,2048,58,False,1955,
gaussian,64,1,2048,59,True,0,[0.01686683714480631]
gaussian,64,1,2048,60,True,0,[0.014893870951247489]
gaussian,64,1,2048,61,True,0,[0.01456042858590475]
gaussian,64,1,2048,62,True,0,[0.014396270822789277]
gaussian,64,1,2048,63,True,0,[0.014241260636126846]
gaussian,64,1,2048,64,True,0,[0.014093472454395954]
gaussian,64,8,128,2,False,87,
gaussian,64,8,128,3,False,87,
gaussian,64,8,128,4,False,87,
gaussian,64,8,128,5,False,87,
gaussian,64,8,128,6,False,87,
gaussian,64,8,128,7,False,87,
gaussian,64,8,128,8,False,87,
gaussian,64,8,128,9,False,88,
gaussian,64,8,128,10,False,88,
gaussian,64,8,128,11,False,88,
gaussian,64,8,128,12,False,88,
gaussian,64,8,128,13,False,88,
gaussian,64,8,128,14,False,88,
gaussian,64,8,128,15,False,88,
gaussian,64,8,128,16,False,88,
gaussian,64,8,128,17,False,88,
gaussian,64,8,128,18,False,88,
gaussian,64,8,128,19,False,88,
gaussian,64,8,128,20,False,89,
gaussian,64,8,128,21,False,89,
gaussian,64,8,128,22,False,89,
gaussian,64,8,128,23,False,89,
gaussian,64,8,128,24,False,89,
gaussian,64,8,128,25,False,89,
gaussian,64,8,128,26,False,89,
gaussian,64,8,128,27,False,90,
gaussian,64,8,128,28,False,90,
gaussian,64,8,128,29,False,90,
gaussian,64,8,128,30,False,90,
gaussian,64,8,128,31,False,90,
gaussian,64,8,128,32,False,91,
gaussian,64,8,128,33,False,91,
gaussian,64,8,128,34,False,91,
gaussian,64,8,128,35,False,91,
gaussian,64,8,128,36,False,92,
gaussian,64,8,128,37,False,92,
gaussian,64,8,128,38,False,92,
gaussian,64,8,128,39,False,92,
gaussian,64,8,128,40,False,93,
gaussian,64,8,128,41,False,93,
gaussian,64,8,128,42,False,93,
gaussian,64,8,128,43,False,94,
gaussian,64,8,128,44,False,94,
gaussian,64,8,128,45,False,94,
gaussian,64,8,128,46,False,95,
gaussian,64,8,128,47,False,95,
gaussian,64,8,128,48,False,95,
gaussian,64,8,128,49,False,96,
gaussian,64,8,128,50,False,96,
gaussian,64,8,128,51,False,96,
gaussian,64,8,128,52,False,97,
gaussian,64,8,128,53,False,97,
gaussian,64,8,128,54,False,97,
gaussian,64,8,128,55,False,98,
gaussian,64,8,128,56,False,98,
gaussian,64,8,128,57,False,99,
gaussian,64,8,128,58,False,99,
gaussian,64,8,128,59,False,99,
gaussian,64,8,128,60,False,99,
gaussian,64,8,128,61,False,100,
gaussian,64,8,128,62,False,100,
gaussian,64,8,128,63,False,100,
gaussian,64,8,128,64,False,100,
gaussian,64,8,512,2,False,357,
gaussian,64,8,512,3,False,357,
gaussian,64,8,512,4,False,357,
gaussian,64,8,512,5,False,357,
gaussian,64,8,512,6,False,357,
gaussian,64,8,512,7,False,357,
gaussian,64,8,512,8,False,357,
gaussian,64,8,512,9,False,358,
gaussian,64,8,512,10,False,358,
gaussian,64,8,512,11,False,358,
gaussian,64,8,512,12,False,359,
gaussian,64,8,512,13,False,359,
gaussian,64,8,512,14,False,360,
gaussian,64,8,512,15,False,360,
gaussian,64,8,512,16,False,361,
gaussian,64,8,512,17,False,361,
gaussian,64,8,512,18,False,362,
gaussian,64,8,512,19,False,362,
gaussian,64,8,512,20,False,363,
gaussian,64,8,512,21,False,364,
gaussian,64,8,512,22,False,365,
gaussian,64,8,512,23,False,365,
gaussian,64,8,512,24,False,366,
gaussian,64,8,512,25,False,367,
gaussian,64,8,512,26,False,368,
gaussian,64,8,512,27,False,369,
gaussian,64,8,512,28,False,370,
gaussian,64,8,512,29,False,371,
gaussian,64,8,512,30,False,372,
gaussian,64,8,512,31,False,374,
gaussian,64,8,512,32,False,375,
gaussian,64,8,512,33,False,376,
gaussian,64,8,512,34,False,378,
gaussian,64,8,512,35,False,379,
gaussian,64,8,512,36,False,381,
gaussian,64,8,512,37,False,382,
gaussian,64,8,512,38,False,384,
gaussian,64,8,512,39,False,386,
gaussian,64,8,512,40,False,387,
gaussian,64,8,512,41,False,389,
gaussian,64,8,512,42,False,392,
gaussian,64,8,512,43,False,394,
gaussian,64,8,512,44,False,396,
gaussian,64,8,512,45,False,399,
gaussian,64,8,512,46,False,401,
gaussian,64,8,512,47,False,404,
gaussian,64,8,512,48,False,407,
gaussian,64,8,512,49,False,410,
gaussian,64,8,512,50,False,414,
gaussian,64,8,512,51,False,417,
gaussian,64,8,512,52,False,422,
gaussian,64,8,512,53,False,426,
gaussian,64,8,512,54,False,431,
gaussian,64,8,512,55,False,437,
gaussian,64,8,512,56,False,444,
gaussian,64,8,512,57,False,452,
gaussian,64,8,512,58,False,462,
gaussian,64,8,512,59,False,478,
gaussian,64,8,512,60,True,0,"[0.018006294400375936, 0.01807634283775972, 0.018063953829843785, 0.018035448206566582, 0.018081384811521856, 0.01804433813281773, 0.018057648507715955, 0.018079030492764693]"
gaussian,64,8,512,61,True,0,"[0.014843738611903932, 0.01484229909565003, 0.014843027347623942, 0.014843611236095757, 0.014841317973336484, 0.01484350177827046, 0.01484322927537872, 0.014841971521389568]"
