batch,cell_id,checkpoint_sha256,commit,composed_true_to_learned_kl_mean,composed_true_to_learned_w1_mean,dataset_seed,device,diffusion,dimension,ess_threshold,family,final_ess_fraction,groups,initialization,integrability_certificate,kind,ks_mean,mean_absolute_error,method,minimum_ess_fraction,parameter_prediction_seconds,particles,peak_gpu_bytes,positive_mass_error,recorded_ks_mean,recorded_mean_absolute_error,recorded_positive_mass_error,recorded_variance_relative_error,recorded_w1_mean,relative_path,resampling_count,sampling,score_evaluations,seconds,seed,status,steps,training_seed,true_ks_mean,true_mean_absolute_error,true_positive_mass_error,true_variance_relative_error,true_w1_mean,u_max,variance_relative_error,w1_mean
4,816,4f8f7d024dee2ba1d205fcf59f39c4f32d87524ab703a9051d4ad4e7ca38f59f,4b74724c4225fcfe043fdd749fb740fff4cf33c8,0.004135481232107491,0.015474194712993742,0,cuda,1.0,8,0.5,learned_mixture,0.6659560633620172,16,standard normal at finite u_max,infinite,learned,0.22816020503082873,0.13393399324449148,unbiased,0.3460768801369885,0.004957348108291626,32768,151138816,0.02447076078158694,0.22816019041474947,0.13393399324449146,0.024470761996919898,0.30379990964107917,0.1356505367235913,learned/task_016/cell_0816,42,with_replacement,268435456,4.347610503435135,104000,completed,2048,4,0.2265279452017781,0.1357014579584253,0.027003551942372608,0.3116264475758335,0.13861132928724726,20.0,0.30379990964107906,0.13565087727405004
4,856,4f8f7d024dee2ba1d205fcf59f39c4f32d87524ab703a9051d4ad4e7ca38f59f,4b74724c4225fcfe043fdd749fb740fff4cf33c8,0.0007473861126503207,0.007738899489231298,1,cuda,1.0,8,0.5,learned_mixture,0.8698242314140333,16,standard normal at finite u_max,infinite,learned,0.16820562924496485,0.09092271831705984,unbiased,0.31065043884310317,0.004879295825958252,32768,151138816,0.02326462960090702,0.16820564780315,0.09092271831706006,0.023264628251667353,0.17693016555248503,0.09533868174379351,learned/task_016/cell_0856,48,with_replacement,268435456,4.3412157110869884,104001,completed,2048,4,0.17121814925794215,0.09295660445197708,0.02250564747008601,0.1720364883323526,0.09556884927499631,20.0,0.17693016555248553,0.09533844621290725
4,896,4f8f7d024dee2ba1d205fcf59f39c4f32d87524ab703a9051d4ad4e7ca38f59f,4b74724c4225fcfe043fdd749fb740fff4cf33c8,0.0008707190054726818,0.006642637838624772,2,cuda,1.0,8,0.5,learned_mixture,0.7215535361012844,16,standard normal at finite u_max,infinite,learned,0.0937035006910046,0.04845923887823904,unbiased,0.32727858784946484,0.00489460676908493,32768,151138816,0.015008231474689358,0.0937035182768225,0.04845923887823933,0.015008224311623724,0.09046640308165485,0.0485904119447663,learned/task_016/cell_0896,48,with_replacement,268435456,4.345751076936722,104002,completed,2048,4,0.10418910757175673,0.05403861596682798,0.014469761436967949,0.09434637840087572,0.054060528069167044,20.0,0.09046640308165514,0.04858988074637557
4,936,4f8f7d024dee2ba1d205fcf59f39c4f32d87524ab703a9051d4ad4e7ca38f59f,4b74724c4225fcfe043fdd749fb740fff4cf33c8,0.0015229140976215718,0.009263315537770683,3,cuda,1.0,8,0.5,learned_mixture,0.6796003014528305,16,standard normal at finite u_max,infinite,learned,0.08247886929180406,0.04259184860119764,unbiased,0.32592152081919085,0.004910510033369064,32768,151138816,0.012675789180731435,0.08247888592750569,0.04259184860119791,0.01267579429201283,0.09206107845010274,0.04400156612555295,learned/task_016/cell_0936,50,with_replacement,268435456,4.347864534705877,104003,completed,2048,4,0.0939550265335469,0.04925826999644926,0.012091143168385733,0.09037057600001892,0.050056536410120436,20.0,0.09206107845010308,0.04400107484984085
4,976,4f8f7d024dee2ba1d205fcf59f39c4f32d87524ab703a9051d4ad4e7ca38f59f,4b74724c4225fcfe043fdd749fb740fff4cf33c8,0.0005168833569056035,0.0054129260957495266,4,cuda,1.0,8,0.5,learned_mixture,0.9277787079255815,16,standard normal at finite u_max,infinite,learned,0.100785799477297,0.05224688526557937,unbiased,0.27825076552603606,0.005380671471357346,32768,151138816,0.041486197625606874,0.10078579975684404,0.05224688526557947,0.0414861941767138,0.09325472955458845,0.05270162466456203,learned/task_016/cell_0976,60,with_replacement,268435456,4.355839725583792,104004,completed,2048,4,0.10332606215582421,0.05377865041944182,0.042219619286725185,0.09526836866744137,0.05411196721923526,20.0,0.09325472955458855,0.05270204037834877
4,17,ce9344dce5f56b4cda176bcdb36371f48911618aa600da1465617419b4995b69,4b74724c4225fcfe043fdd749fb740fff4cf33c8,0.0017075322420032606,0.009442208231325834,0,cuda,1.0,8,0.5,learned_mixture,0.94945799999869,16,standard normal at finite u_max,infinite,learned,0.08958046976829406,0.049720997865935763,unbiased,0.44327615634982886,2.4039045348763466,32768,155333120,0.01410997445966373,0.08958048022367032,0.04972099786593541,0.014109978211359642,0.10180340679111381,0.050548565562066036,learned/task_017/cell_0017,29,without_replacement,268435456,4.735730655491352,100000,completed,2048,0,0.09313779621365711,0.0508730389424312,0.012527918946337752,0.09207066029714106,0.05224014474799655,20.0,0.10180340679111348,0.05054840839020503
4,57,ce9344dce5f56b4cda176bcdb36371f48911618aa600da1465617419b4995b69,4b74724c4225fcfe043fdd749fb740fff4cf33c8,0.0006967364291436821,0.006589171643460612,1,cuda,1.0,8,0.5,learned_mixture,0.8956501067959838,16,standard normal at finite u_max,infinite,learned,0.05158696410496359,0.02652605222386889,unbiased,0.4664862985862729,0.005114156752824783,32768,155333120,0.005230985711535886,0.05158699518612739,0.026526052223868876,0.005230988621436186,0.08750020582505781,0.027477969655505842,learned/task_017/cell_0057,30,without_replacement,268435456,4.729841332882643,100001,completed,2048,0,0.04762280068220209,0.024037639621262298,0.0013853915068592832,0.07878444169418912,0.02515484455138375,20.0,0.08750020582505776,0.02747775576627127
4,97,ce9344dce5f56b4cda176bcdb36371f48911618aa600da1465617419b4995b69,4b74724c4225fcfe043fdd749fb740fff4cf33c8,0.0008179824631373392,0.006750998253324644,2,cuda,1.0,8,0.5,learned_mixture,0.9394433159704434,16,standard normal at finite u_max,infinite,learned,0.08075943008654106,0.040330695944237965,unbiased,0.44075337224026023,0.0053066834807395935,32768,155333120,0.009751127121460973,0.0807594486035792,0.04033069594423745,0.009751127630476517,0.09235534423397669,0.040579740092873115,learned/task_017/cell_0097,33,without_replacement,268435456,4.730908039957285,100002,completed,2048,0,0.07794037292506796,0.03830023273318331,0.008531457193826595,0.09382770217711796,0.038558240091524316,20.0,0.0923553442339763,0.040579570266992174
4,137,ce9344dce5f56b4cda176bcdb36371f48911618aa600da1465617419b4995b69,4b74724c4225fcfe043fdd749fb740fff4cf33c8,0.0014346197198311776,0.010000008368595811,3,cuda,1.0,8,0.5,learned_mixture,0.7187263556055938,16,standard normal at finite u_max,infinite,learned,0.06764605367283333,0.03338058197333653,unbiased,0.47017364065785283,0.005020748823881149,32768,155333120,0.006065278708793884,0.06764608068274228,0.033380581973336765,0.006065288714860328,0.09627269163648892,0.03518895078880145,learned/task_017/cell_0137,32,without_replacement,268435456,4.736736565828323,100003,completed,2048,0,0.06422519545338204,0.03161361697428879,0.007362554642393416,0.08970496140463687,0.03384025333929858,20.0,0.09627269163648922,0.035188864689029535
4,177,ce9344dce5f56b4cda176bcdb36371f48911618aa600da1465617419b4995b69,4b74724c4225fcfe043fdd749fb740fff4cf33c8,0.0006637233782110453,0.006846767429924664,4,cuda,1.0,8,0.5,learned_mixture,0.7210113440996254,16,standard normal at finite u_max,infinite,learned,0.10258057207087161,0.046804452649405165,unbiased,0.3274343445761412,0.004916708916425705,32768,155333120,0.03235222983607018,0.10258057263388033,0.04680445264940515,0.03235223670747073,0.13427416960770006,0.050532818828098965,learned/task_017/cell_0177,35,without_replacement,268435456,4.730890065431595,100004,completed,2048,0,0.10029777395340253,0.04590154361017176,0.029551250914353278,0.12974737040884268,0.04881411783161239,20.0,0.1342741696076999,0.050532779556387776
