family,groups,dimension,steps,display_method,batch,particles,u_max,cells,finite,w1_mean_mean,w1_mean_std,w1_mean_median,ks_mean_mean,ks_mean_std,ks_mean_median,seconds_mean,seconds_std,seconds_median
gaussian,64,1,2048,Tail-WR,4,8192,20.0,5,5,0.01758517976371532,0.0077248001693004335,0.0146794632013803,0.07018962527384925,0.026061810482095667,0.0662630050171711,3.959321904182434,0.04982428937623705,3.968659795820713
gaussian,64,1,2048,Tail-WR,8,8192,20.0,5,5,0.01758517976371534,0.007724800169300418,0.0146794632013803,0.0701896252738493,0.026061810482095583,0.0662630050171712,3.8910445258021356,0.07270404316738016,3.8793709576129913
gaussian,64,1,2048,U-WOR,2,8192,20.0,5,0,0.06639467123825692,0.014520623323080474,0.0666523884221682,0.23856417957558046,0.04097271495087202,0.2493309108134412,2.81708827028051,0.031099814102340653,2.808010473847389
gaussian,64,1,2048,U-WOR,4,8192,20.0,5,0,0.03501396843453751,0.015500436810618577,0.0400323301202108,0.12861835243098987,0.048491128263484194,0.1486937567973394,2.786248329747468,0.05436981923122244,2.767436269670725
gaussian,64,1,2048,U-WOR,8,8192,20.0,5,0,0.03603884990666646,0.01951061243313991,0.0319657411645526,0.11997196007276693,0.05293015324053224,0.109169865002309,2.78193052187562,0.06882915924181104,2.747963670641184
gaussian,64,1,2048,U-WR,2,8192,20.0,5,0,0.05166203976424786,0.012315216490474854,0.0450674911805551,0.19107661749779692,0.04074426056572975,0.1739965259386993,2.937394951283932,0.09041836398951689,2.9478336088359356
gaussian,64,1,2048,U-WR,4,8192,20.0,5,0,0.02515464253226176,0.013951007290332832,0.030181889053724,0.0901589192726469,0.04939823175807883,0.1140333404138377,2.9294794557616113,0.09762924688099046,2.921440526843071
gaussian,64,1,2048,U-WR,8,8192,20.0,5,0,0.015042216174642839,0.008570493050256157,0.013551258508068,0.05847890560744136,0.0337561479370376,0.055024159623775,2.8639452236238867,0.045566984236073554,2.8322872668504715
gaussian,64,8,512,Full,4,8192,10.0,5,5,0.016297347994360677,0.00465190487197769,0.014475598027706,0.06404510652352928,0.01944042215263956,0.0570893750361126,1.922610043734312,0.00477856489751549,1.92172472178936
gaussian,64,8,512,Full,4,8192,20.0,5,5,0.014843018725388981,0.0034139037623971535,0.0149037132852588,0.05683639012062491,0.011423193847301321,0.0572568822284131,1.9196597419679164,0.011794840799952216,1.9226939305663109
gaussian,64,8,512,Full,4,8192,30.0,5,5,0.03197125108069197,0.013497050396688635,0.0291025689793133,0.12047015331736846,0.05008563574835603,0.1058686320103023,1.9188002865761518,0.01251402431342166,1.9257356226444244
gaussian,64,8,512,Full,4,32768,20.0,5,5,0.02021435659011608,0.004269323407090752,0.0199404029757928,0.07495575632918476,0.01411203110833514,0.0733929338562243,6.5269990058615805,0.04512064363626269,6.496142361313105
gaussian,64,8,512,Full,4,131072,20.0,5,5,0.022397976301009443,0.013024643579689842,0.0174085496559812,0.08234094725665778,0.04620939775895609,0.0666292682883377,24.97127813138068,0.04676203735978615,24.986576162278652
gaussian,64,8,512,Tail-WOR,2,8192,20.0,5,5,0.024712072605468323,0.012751964788882034,0.0185324016485757,0.09422960457833754,0.044746218776813625,0.0733107182511347,1.0217552445828915,0.00954177685127774,1.025824822485447
gaussian,64,8,512,Tail-WOR,4,8192,10.0,5,5,0.02047241864160762,0.0031092618189527076,0.0214031497033364,0.08005563231801893,0.011524484998441817,0.0806741156040346,1.0100266881287099,0.019172633642743957,1.0223470963537693
gaussian,64,8,512,Tail-WOR,4,8192,20.0,5,5,0.024712072605468323,0.012751964788882034,0.0185324016485757,0.09422960457833751,0.044746218776813666,0.0733107182511346,1.0092633984982968,0.01824766835361715,1.0085951052606106
gaussian,64,8,512,Tail-WOR,4,8192,30.0,5,5,0.026367003684886557,0.008530088030166168,0.0268346666099552,0.09854890203852855,0.032557880013454436,0.1011062877426602,1.0280949629843235,0.004810487463322385,1.0287353545427322
gaussian,64,8,512,Tail-WOR,4,32768,20.0,5,5,0.01797443018343666,0.008267363448509773,0.014818942433687,0.06767646487116644,0.031141329524604237,0.0558870161796294,1.4430700314231217,0.012866640638028214,1.4403794705867767
gaussian,64,8,512,Tail-WOR,4,131072,20.0,5,5,0.01356836751750248,0.0016362267665600296,0.0140997042093036,0.0508739500542051,0.005824035627555714,0.0521061209712439,4.757273530960083,0.021888330133215946,4.769839510321617
gaussian,64,8,512,Tail-WOR,8,8192,20.0,5,5,0.024712072605468323,0.012751964788882034,0.0185324016485757,0.09422960457833751,0.04474621877681372,0.0733107182511346,1.0190064027905463,0.01345004707763936,1.0222682803869247
gaussian,64,8,512,Tail-WR,2,8192,20.0,5,5,0.01694624280281236,0.004711475368106399,0.0161607095016993,0.06318921945640983,0.016674039197685526,0.0602575339769939,1.0284597053192557,0.02580990753177926,1.0256157964468002
gaussian,64,8,512,Tail-WR,4,8192,10.0,5,5,0.018705673982411,0.00512903112923136,0.018640669678781,0.07175683151933412,0.01768379373891677,0.0733358050649759,1.0339526506140828,0.015645999266317216,1.024966798722744
gaussian,64,8,512,Tail-WR,4,8192,20.0,5,5,0.01694624280281236,0.004711475368106399,0.0161607095016993,0.06318921945640982,0.016674039197685467,0.0602575339769939,1.0211541190743447,0.03221440212398634,1.0088445097208023
gaussian,64,8,512,Tail-WR,4,8192,30.0,5,5,0.0180617430650889,0.0042212621521513435,0.0202500464232266,0.06967674460255488,0.015093302778472834,0.0752238266783592,1.0318592490628362,0.030215778900362075,1.0526459254324436
