cell_id,training_seed,dataset_seed,setting_id,particles,method,mse,rmse,coverage90,coverage95,width90,width95
115,2,403,full,32768,full,0.013890306714248356,0.11785714536780685,0.875,1.0,0.33994171383980337,0.4031885387520113
116,2,403,tail_fixed,32768,tail_fixed,0.015589687723406659,0.1248586709980795,0.75,0.875,0.3130828832445761,0.37225926432925815
117,2,403,surrogate_only,32768,surrogate_only,0.015419698951202633,0.12417608043098571,0.875,1.0,0.33413912866325646,0.39679849552225277
118,2,403,surrogate_full,32768,surrogate_full,0.014334198200334637,0.11972551190257921,0.875,1.0,0.33221285542099166,0.39625760594609516
119,2,403,certified,32768,certified,0.011452891203997407,0.10701818165151848,0.875,1.0,0.3397840219643635,0.40361023613421243
120,2,404,full,32768,full,0.020814098257179885,0.14427091965181302,0.625,0.75,0.3303564988801432,0.3927417194126663
121,2,404,tail_fixed,32768,tail_fixed,0.018906625164659192,0.13750136422835663,0.625,0.75,0.2825893878529177,0.33730680906525556
122,2,404,surrogate_only,32768,surrogate_only,0.019034106755488285,0.13796415025465233,0.5,0.75,0.32524944759281305,0.3874790827570749
123,2,404,surrogate_full,32768,surrogate_full,0.02294228605987218,0.1514671121394746,0.625,0.625,0.32699470814137843,0.3878578551328905
124,2,404,certified,32768,certified,0.019789293092671738,0.14067442231149108,0.625,0.75,0.3281560415603091,0.3908579119240805
125,2,405,full,32768,full,0.0322001945523727,0.17944412654743733,0.75,0.75,0.3316553927342547,0.39361407477284815
126,2,405,tail_fixed,32768,tail_fixed,0.04363194731415294,0.20888261611286119,0.25,0.25,0.23805638955708316,0.2843624904360216
127,2,405,surrogate_only,32768,surrogate_only,0.033368940265350935,0.182671673407102,0.75,0.75,0.3314887324208762,0.39600601165084626
128,2,405,surrogate_full,32768,surrogate_full,0.03343705467478349,0.18285801780283928,0.75,0.75,0.3347645480131477,0.39840860097122105
129,2,405,certified,32768,certified,0.03474585403311703,0.18640239814207604,0.75,0.75,0.3302026078035159,0.3917215791136154
130,2,406,full,32768,full,0.007776849402061689,0.08818644681617288,1.0,1.0,0.32836153361571935,0.3918159088858785
131,2,406,tail_fixed,32768,tail_fixed,0.044599461669958915,0.2111858462822708,0.625,0.75,0.2760463406592339,0.3301384524957808
132,2,406,surrogate_only,32768,surrogate_only,0.008156842553323945,0.09031523987303552,1.0,1.0,0.3369031803395831,0.39928461590822206
133,2,406,surrogate_full,32768,surrogate_full,0.007628029865216049,0.08733859321752353,1.0,1.0,0.3268454195640629,0.3882049868972397
134,2,406,certified,32768,certified,0.01221971176581445,0.11054280512911932,0.75,0.875,0.2982088256950971,0.3573473647355394
135,2,407,full,32768,full,0.005446959975610764,0.0738035227859129,1.0,1.0,0.3172768444722204,0.37663899077699753
136,2,407,tail_fixed,32768,tail_fixed,0.02309409582566338,0.1519674169868771,0.625,0.75,0.27958581140020305,0.3328744098415944
137,2,407,surrogate_only,32768,surrogate_only,0.004895957976456671,0.06997112244673992,1.0,1.0,0.314932203711261,0.374835915462541
138,2,407,surrogate_full,32768,surrogate_full,0.005483733734352598,0.07405223652498687,1.0,1.0,0.3229631795622853,0.38251960599999824
139,2,407,certified,32768,certified,0.004974172024012366,0.07052781028794504,1.0,1.0,0.32137897455551956,0.3813079516331193
140,2,408,full,32768,full,0.011724328800173697,0.10827893978135221,1.0,1.0,0.36113424382584347,0.42821969537252624
141,2,408,tail_fixed,32768,tail_fixed,0.019605592789330075,0.14001997282291578,0.75,0.75,0.2687162556125364,0.3209257347470819
142,2,408,surrogate_only,32768,surrogate_only,0.011349153694913,0.10653240678269218,1.0,1.0,0.3392370863197391,0.40286090887128684
143,2,408,surrogate_full,32768,surrogate_full,0.01379911577046549,0.11746963765358899,0.875,1.0,0.3435550352187201,0.406020867706851
144,2,408,certified,32768,certified,0.011771204623759496,0.1084951824910189,0.875,1.0,0.33821814605224687,0.40352952733853903
145,2,409,full,32768,full,0.019832748216753994,0.14082879043985996,0.75,0.75,0.32545983044299526,0.3896496344242758
146,2,409,tail_fixed,32768,tail_fixed,0.031204807843215998,0.1766488263284418,0.5,0.625,0.29237151450691307,0.3457575000316594
147,2,409,surrogate_only,32768,surrogate_only,0.019005236007589733,0.13785947920832187,0.75,0.875,0.3290942148288745,0.39074528402192277
148,2,409,surrogate_full,32768,surrogate_full,0.021289278892825968,0.14590846066224525,0.75,0.75,0.3197874435888012,0.3819549172736261
149,2,409,certified,32768,certified,0.020789205110820087,0.14418462161693973,0.75,0.75,0.32129552896279434,0.3829974970637682
150,3,400,full,32768,full,0.01740851946891473,0.1319413485944218,0.75,0.75,0.33565687016639373,0.4007358116027472
151,3,400,tail_fixed,32768,tail_fixed,0.046958926773716686,0.21670008484935277,0.375,0.5,0.26088699941809707,0.3122072044690246
152,3,400,surrogate_only,32768,surrogate_only,0.0191084277435533,0.1382332367542383,0.75,0.75,0.3343288091748692,0.3975590947550751
153,3,400,surrogate_full,32768,surrogate_full,0.019253061638521883,0.1387554021958132,0.75,0.75,0.34110099679805433,0.40661691600893
154,3,400,certified,32768,certified,0.01946078071524835,0.13950190219222228,0.75,0.75,0.33587530058821274,0.3985999678981542
155,3,401,full,32768,full,0.008142121100767011,0.09023370268789269,1.0,1.0,0.3303574286503325,0.39301786930759314
156,3,401,tail_fixed,32768,tail_fixed,0.03195625096283262,0.17876311410028808,0.5,0.5,0.2851018624894195,0.3423412771527505
157,3,401,surrogate_only,32768,surrogate_only,0.00732631565230198,0.08559389962083734,1.0,1.0,0.3328979204052806,0.39569810601727534
158,3,401,surrogate_full,32768,surrogate_full,0.007720101779845615,0.0878641097368295,0.875,1.0,0.33271765180512514,0.39633313361903594
159,3,401,certified,32768,certified,0.008283788022202775,0.09101531751415678,1.0,1.0,0.3326719194649962,0.39581235475620963
160,3,402,full,32768,full,0.008585590585562033,0.09265846202890501,0.875,1.0,0.3348252692371391,0.3971791620136198
161,3,402,tail_fixed,32768,tail_fixed,0.019435567936257777,0.1394115057527813,0.75,0.875,0.27954120610383243,0.33076047717628754
162,3,402,surrogate_only,32768,surrogate_only,0.007929331485901279,0.08904679379911036,1.0,1.0,0.3375795550274909,0.40242303338920543
163,3,402,surrogate_full,32768,surrogate_full,0.006865055300194699,0.08285562926074908,0.875,1.0,0.3233642963033773,0.38555546654873707
164,3,402,certified,32768,certified,0.007478957411612305,0.08648096560291348,0.875,1.0,0.3340046034848919,0.39748028998498797
165,3,403,full,32768,full,0.013938696173473021,0.1180622554988385,0.75,1.0,0.342556333872811,0.4081423528267789
166,3,403,tail_fixed,32768,tail_fixed,0.021780142740120006,0.14758097011512022,0.75,0.75,0.3011413366706685,0.3584972402409848
167,3,403,surrogate_only,32768,surrogate_only,0.014269328517225531,0.11945429467886674,0.875,1.0,0.3397783705517056,0.40330806867202207
168,3,403,surrogate_full,32768,surrogate_full,0.016235797412699975,0.12741976853180975,0.875,1.0,0.343845312865214,0.40992834248256454
169,3,403,certified,32768,certified,0.014437685663094512,0.12015692099539882,0.75,1.0,0.3364936609489778,0.3997763867040205
170,3,404,full,32768,full,0.021220542970460637,0.14567272555444494,0.5,0.625,0.32442666546374566,0.38508074980977525
171,3,404,tail_fixed,32768,tail_fixed,0.024070987888120433,0.1551482771032938,0.625,0.625,0.2698719104610803,0.32273751771543124
172,3,404,surrogate_only,32768,surrogate_only,0.024177880929576536,0.15549238222362063,0.5,0.625,0.3280895429612011,0.39075537948455674
173,3,404,surrogate_full,32768,surrogate_full,0.01965519793258792,0.14019699687435505,0.625,0.625,0.32638087612207445,0.38867680315554637
174,3,404,certified,32768,certified,0.020116852982223057,0.14183389221981837,0.625,0.75,0.33851753051441824,0.4011842164313867
175,3,405,full,32768,full,0.0388159322226076,0.1970175936879943,0.75,0.75,0.33697968551394497,0.4017281571258693
176,3,405,tail_fixed,32768,tail_fixed,0.03631600509134446,0.19056758667555315,0.5,0.5,0.2873397490582408,0.3398402144860746
177,3,405,surrogate_only,32768,surrogate_only,0.03727250573105199,0.1930608860723787,0.75,0.75,0.33709393545826766,0.40144855807492286
178,3,405,surrogate_full,32768,surrogate_full,0.037692538865356326,0.19414566403954617,0.75,0.75,0.3382861118575297,0.4038290574074652
179,3,405,certified,32768,certified,0.039139341958665815,0.1978366547398783,0.75,0.875,0.3343956126980727,0.3961693396549681
180,3,406,full,32768,full,0.007130078776060052,0.08443979379451404,1.0,1.0,0.3360590227889272,0.40084078397868983
181,3,406,tail_fixed,32768,tail_fixed,0.044194842137251646,0.21022569333278854,0.625,0.75,0.28973152679102476,0.3450970482362143
182,3,406,surrogate_only,32768,surrogate_only,0.006430295934277948,0.0801891260351299,1.0,1.0,0.3373459292148603,0.400866792754825
183,3,406,surrogate_full,32768,surrogate_full,0.006461219629103088,0.08038171203142595,1.0,1.0,0.3412072535330142,0.40631923623511185
184,3,406,certified,32768,certified,0.0074570905882994755,0.08635444741470746,1.0,1.0,0.3308301016346451,0.3948524877836963
185,3,407,full,32768,full,0.006171710295787522,0.07856023355227199,1.0,1.0,0.32880536935089894,0.38958491575316223
186,3,407,tail_fixed,32768,tail_fixed,0.02935563033792019,0.17133484857996692,0.625,0.75,0.27280448186735995,0.3248156056906814
187,3,407,surrogate_only,32768,surrogate_only,0.006268220693531996,0.07917209542213718,1.0,1.0,0.3258980098541383,0.38777526421882047
188,3,407,surrogate_full,32768,surrogate_full,0.005907457459332303,0.07685998607423958,1.0,1.0,0.32434397870655096,0.3853161223350033
189,3,407,certified,32768,certified,0.007404369265676256,0.08604864476373963,0.875,1.0,0.3172342263618029,0.37578428744664144
190,3,408,full,32768,full,0.01085230837743953,0.10417441325699671,1.0,1.0,0.3378146638011251,0.40044556757688854
191,3,408,tail_fixed,32768,tail_fixed,0.027737598961938063,0.16654608660049044,0.875,0.875,0.2737918931681429,0.32608092634812647
192,3,408,surrogate_only,32768,surrogate_only,0.01161974200634172,0.10779490714473351,1.0,1.0,0.341653657794167,0.4068590571273305
193,3,408,surrogate_full,32768,surrogate_full,0.011291699721576523,0.10626240972976532,1.0,1.0,0.3403716561220653,0.4050230378468592
194,3,408,certified,32768,certified,0.010761633713117615,0.10373829434262748,0.875,1.0,0.33519141865066765,0.39769100517037986
195,3,409,full,32768,full,0.02222224300277536,0.14907126820006383,0.75,0.75,0.3258550480712729,0.38744422732649614
196,3,409,tail_fixed,32768,tail_fixed,0.025148081982286838,0.15858146796611147,0.5,0.625,0.2969648148285644,0.34972020753627586
197,3,409,surrogate_only,32768,surrogate_only,0.02058033895674396,0.143458492103967,0.75,0.875,0.3275262051448763,0.3893108283373485
198,3,409,surrogate_full,32768,surrogate_full,0.019995522383719273,0.14140552458698094,0.75,0.75,0.31718746000612674,0.3784178243764582
199,3,409,certified,32768,certified,0.020487103184925567,0.14313316591526076,0.75,0.875,0.32616453564231973,0.38857921870829415
200,4,400,full,32768,full,0.018665537726478523,0.13662187865228073,0.75,0.75,0.3394258343747145,0.40469240913148186
201,4,400,tail_fixed,32768,tail_fixed,0.04932000967558203,0.22208108806375665,0.375,0.375,0.2646384692654892,0.3125666477982204
202,4,400,surrogate_only,32768,surrogate_only,0.01799855814588128,0.13415870506933675,0.75,0.75,0.3320934658007535,0.396124355094677
203,4,400,surrogate_full,32768,surrogate_full,0.01974804904656962,0.1405277518733208,0.75,0.75,0.3323459737704888,0.39478422441233063
204,4,400,certified,32768,certified,0.0187327318463337,0.1368675704699024,0.75,0.75,0.3376076366948104,0.4031679770541038
205,4,401,full,32768,full,0.0092774642778191,0.09631959446456936,0.875,1.0,0.33705435115522675,0.39825366748368873
206,4,401,tail_fixed,32768,tail_fixed,0.02796025668981664,0.16721320728284786,0.625,0.625,0.3022171331010347,0.35854745607833083
207,4,401,surrogate_only,32768,surrogate_only,0.008870380508981611,0.0941826975032124,0.875,1.0,0.3389815773332725,0.4034634604418442
208,4,401,surrogate_full,32768,surrogate_full,0.009698886288903617,0.09848292384420569,0.875,1.0,0.32898962093862905,0.3924430599237164
209,4,401,certified,32768,certified,0.010504323654050535,0.10249060275971908,0.875,1.0,0.3394245402806295,0.4040897170055432
210,4,402,full,32768,full,0.01037149809630326,0.10184055231735176,0.875,0.875,0.3276378342787856,0.39099513497455857
211,4,402,tail_fixed,32768,tail_fixed,0.019226806919458918,0.13866076200374394,0.5,0.625,0.26698819244720046,0.31912888885688856
212,4,402,surrogate_only,32768,surrogate_only,0.009181627012186725,0.09582080678113039,0.875,1.0,0.32863852364860424,0.39015852465655737
213,4,402,surrogate_full,32768,surrogate_full,0.008900027543124137,0.09433995729871907,0.875,1.0,0.32942755016590997,0.3930686812112122
214,4,402,certified,32768,certified,0.00921069271357353,0.09597235390243135,1.0,1.0,0.3351154620902962,0.3978490653622917
215,4,403,full,32768,full,0.012657730957509317,0.11250658184083862,0.875,1.0,0.3494907941472736,0.41495339104505174
216,4,403,tail_fixed,32768,tail_fixed,0.023656263954958325,0.15380592951820266,0.625,0.75,0.31344784004679593,0.3720793994267486
217,4,403,surrogate_only,32768,surrogate_only,0.011115959178672322,0.10543224923462613,1.0,1.0,0.33863684358645774,0.4014286891697215
218,4,403,surrogate_full,32768,surrogate_full,0.015005560374696733,0.12249718517050395,0.875,1.0,0.33567544177034553,0.3988913388196136
219,4,403,certified,32768,certified,0.013861799393373272,0.11773614310556156,0.875,1.0,0.33488128420608065,0.39746239057685673
220,4,404,full,32768,full,0.01701237456877379,0.13043149377651775,0.75,0.75,0.325446516316778,0.3873041312573733
221,4,404,tail_fixed,32768,tail_fixed,0.02714263434096866,0.1647502180301096,0.5,0.625,0.295911798508129,0.3518124367482488
222,4,404,surrogate_only,32768,surrogate_only,0.023067497144409952,0.15187987735183997,0.625,0.75,0.32850541386886234,0.3904817983281794
223,4,404,surrogate_full,32768,surrogate_full,0.018312420000234364,0.13532339044021313,0.625,0.75,0.32556751540941536,0.3873655878818052
224,4,404,certified,32768,certified,0.01933467843678228,0.13904919430468585,0.625,0.625,0.32974505408835875,0.3920702584467576
225,4,405,full,32768,full,0.03230058432411303,0.17972363318193027,0.75,0.75,0.3376757524356154,0.40226288534037047
226,4,405,tail_fixed,32768,tail_fixed,0.04449827250125953,0.21094613649284866,0.25,0.375,0.25087185227188047,0.30037013803828394
227,4,405,surrogate_only,32768,surrogate_only,0.03541284537524713,0.18818301032571227,0.75,0.75,0.34080990327069627,0.4041253494581121
228,4,405,surrogate_full,32768,surrogate_full,0.038805990351912026,0.19699236115116756,0.75,0.75,0.33075462418379353,0.3934592852771235
229,4,405,certified,32768,certified,0.03684547798468417,0.19195175952484564,0.75,0.75,0.3349795845572293,0.3990410871636059
230,4,406,full,32768,full,0.00863087467155618,0.09290250088967562,1.0,1.0,0.333382296854825,0.3987219452508311
231,4,406,tail_fixed,32768,tail_fixed,0.06306579282157987,0.25112903619768834,0.5,0.625,0.24352791237607707,0.2890689146228617
232,4,406,surrogate_only,32768,surrogate_only,0.00830608647092886,0.09113773351871804,1.0,1.0,0.3368161634515663,0.40129347708693786
233,4,406,surrogate_full,32768,surrogate_full,0.007817684412739894,0.0884176702517087,1.0,1.0,0.3389187051737176,0.40199294564961763
234,4,406,certified,32768,certified,0.009150318895511279,0.09565729922756172,1.0,1.0,0.34270338788621746,0.40764531515821184
235,4,407,full,32768,full,0.0060353969370064466,0.07768781717236266,1.0,1.0,0.3183570763578264,0.37831238757615043
236,4,407,tail_fixed,32768,tail_fixed,0.0418490400252228,0.20457037914913978,0.5,0.5,0.23992379239266542,0.2867447365028816
237,4,407,surrogate_only,32768,surrogate_only,0.006191467568127688,0.07868587908975593,1.0,1.0,0.32364040175647435,0.38454511668658753
238,4,407,surrogate_full,32768,surrogate_full,0.006195735936114942,0.07871299725023144,1.0,1.0,0.31823989042742495,0.3779376927869518
239,4,407,certified,32768,certified,0.005549182506872391,0.07449283527207426,1.0,1.0,0.3164103875050834,0.37639818637457506
240,4,408,full,32768,full,0.009613989722649428,0.09805095472584359,1.0,1.0,0.33221725438719585,0.3960542601337919
241,4,408,tail_fixed,32768,tail_fixed,0.013115411593698322,0.1145225374924007,0.75,0.75,0.27628717552905047,0.3316363161831425
242,4,408,surrogate_only,32768,surrogate_only,0.010644950903921816,0.10317437135220071,1.0,1.0,0.3446253132378049,0.4089667863536379
243,4,408,surrogate_full,32768,surrogate_full,0.009623552942847573,0.0980997091883945,1.0,1.0,0.3360033427509749,0.39916912274056005
244,4,408,certified,32768,certified,0.009988598711439652,0.09994297729925626,1.0,1.0,0.34156174664133654,0.4077687845436059
245,4,409,full,32768,full,0.020384807378386136,0.14277537385132683,0.75,0.75,0.33254846679936223,0.39589241824195076
246,4,409,tail_fixed,32768,tail_fixed,0.03499839996560745,0.18707859301803467,0.5,0.5,0.29929813206195927,0.354668231748426
247,4,409,surrogate_only,32768,surrogate_only,0.020139044045197778,0.14191209971386434,0.75,0.75,0.3204155573704451,0.37918662997751207
248,4,409,surrogate_full,32768,surrogate_full,0.02263555204266128,0.1504511616527479,0.5,0.75,0.31749319270242893,0.37963918473608055
249,4,409,certified,32768,certified,0.01880614993108848,0.1371355166654083,0.75,0.75,0.3228159985121708,0.3835482310033208
-1,0,400,reference,0,learned_reference,0.02069862329886578,0.14387016125265786,0.75,0.875,0.3703711611552061,0.44110386124710216
-1,0,400,reference,0,true_reference,0.022307518863600787,0.1493570181263699,0.75,0.875,0.3685590329316777,0.4390042352550256
-1,0,401,reference,0,learned_reference,0.008082351891550175,0.08990190149018082,1.0,1.0,0.3633480700533083,0.43303507109000644
-1,0,401,reference,0,true_reference,0.008558947735927261,0.09251458120711167,1.0,1.0,0.36291073776046956,0.4325164549759475
-1,0,402,reference,0,learned_reference,0.008431257932751497,0.0918218815574561,0.875,1.0,0.3599088085941463,0.42890509610734023
-1,0,402,reference,0,true_reference,0.00954687219369658,0.0977080968686658,0.875,1.0,0.3596920519203461,0.42864121285809687
-1,0,403,reference,0,learned_reference,0.014575433503221557,0.12072876005004589,1.0,1.0,0.3688858184407707,0.4396270531850788
-1,0,403,reference,0,true_reference,0.014187606797145702,0.11911174080310347,1.0,1.0,0.36901747241281657,0.439774729179821
-1,0,404,reference,0,learned_reference,0.02141307745770467,0.14633207938693643,0.625,0.875,0.35717545769299064,0.42570647739349016
-1,0,404,reference,0,true_reference,0.020533713022414055,0.14329589325034425,0.625,0.75,0.3568539605706533,0.4253271942460318
-1,0,405,reference,0,learned_reference,0.03529410067006866,0.18786724214207398,0.75,0.75,0.36730299467493377,0.43785714310402146
-1,0,405,reference,0,true_reference,0.032554083816062986,0.18042750293694967,0.75,0.875,0.3657916244556501,0.4360667700430175
-1,0,406,reference,0,learned_reference,0.0060794649418778116,0.07797092369516864,1.0,1.0,0.36716507903139256,0.43740199900115173
-1,0,406,reference,0,true_reference,0.006832532306090338,0.08265913322852071,1.0,1.0,0.3673485776006028,0.43760044413606447
-1,0,407,reference,0,learned_reference,0.004982684533655935,0.07058813309371438,1.0,1.0,0.35191940380957115,0.4194911071067799
-1,0,407,reference,0,true_reference,0.005079480065421921,0.07127047120246871,1.0,1.0,0.35238593992239664,0.42003245231982256
-1,0,408,reference,0,learned_reference,0.01149065670582371,0.10719448076194833,1.0,1.0,0.37145305377778354,0.44248939870513637
-1,0,408,reference,0,true_reference,0.011346496381994116,0.10651993420010226,1.0,1.0,0.3706510697973979,0.4415533605364015
-1,0,409,reference,0,learned_reference,0.020797112569215473,0.1442120403059865,0.75,0.875,0.35444467231312315,0.4224252942441856
-1,0,409,reference,0,true_reference,0.020074106943990512,0.14168312159177787,0.75,0.875,0.3546224912417984,0.42263946136582875
-1,1,400,reference,0,learned_reference,0.022494462273479725,0.14998153977566614,0.75,0.875,0.3698890297438744,0.44054832688071344
-1,1,400,reference,0,true_reference,0.022307518863600787,0.1493570181263699,0.75,0.875,0.3685590329316777,0.4390042352550256
-1,1,401,reference,0,learned_reference,0.008835690144156461,0.09399835181616996,1.0,1.0,0.3641872267423525,0.43403169782585993
-1,1,401,reference,0,true_reference,0.008558947735927261,0.09251458120711167,1.0,1.0,0.36291073776046956,0.4325164549759475
-1,1,402,reference,0,learned_reference,0.009787727191376359,0.09893294290263663,0.875,1.0,0.36151719155706097,0.43082549120443425
-1,1,402,reference,0,true_reference,0.00954687219369658,0.0977080968686658,0.875,1.0,0.3596920519203461,0.42864121285809687
-1,1,403,reference,0,learned_reference,0.014008539834184508,0.11835767754642919,1.0,1.0,0.3696268207654613,0.44050733521143126
-1,1,403,reference,0,true_reference,0.014187606797145702,0.11911174080310347,1.0,1.0,0.36901747241281657,0.439774729179821
-1,1,404,reference,0,learned_reference,0.020413954269050932,0.14287740993260947,0.625,0.75,0.35804705627005995,0.42674464787172256
-1,1,404,reference,0,true_reference,0.020533713022414055,0.14329589325034425,0.625,0.75,0.3568539605706533,0.4253271942460318
-1,1,405,reference,0,learned_reference,0.03171105236802993,0.1780759735843944,0.75,0.875,0.3688661302395329,0.4397078493952702
-1,1,405,reference,0,true_reference,0.032554083816062986,0.18042750293694967,0.75,0.875,0.3657916244556501,0.4360667700430175
-1,1,406,reference,0,learned_reference,0.007181702080178258,0.08474492362482992,1.0,1.0,0.36715271180203013,0.43742460839529523
-1,1,406,reference,0,true_reference,0.006832532306090338,0.08265913322852071,1.0,1.0,0.3673485776006028,0.43760044413606447
-1,1,407,reference,0,learned_reference,0.005047662960587748,0.07104690676298123,1.0,1.0,0.35304747544807624,0.42083248927546757
-1,1,407,reference,0,true_reference,0.005079480065421921,0.07127047120246871,1.0,1.0,0.35238593992239664,0.42003245231982256
-1,1,408,reference,0,learned_reference,0.010944248431095137,0.10461476201327964,1.0,1.0,0.37244399728029,0.4436688746505235
-1,1,408,reference,0,true_reference,0.011346496381994116,0.10651993420010226,1.0,1.0,0.3706510697973979,0.4415533605364015
-1,1,409,reference,0,learned_reference,0.01947776089265789,0.13956274894346948,0.75,0.875,0.35589841282044665,0.4241533983882754
-1,1,409,reference,0,true_reference,0.020074106943990512,0.14168312159177787,0.75,0.875,0.3546224912417984,0.42263946136582875
-1,2,400,reference,0,learned_reference,0.023600150441449336,0.1536234046018032,0.75,0.75,0.3661624821792928,0.4360878938111347
-1,2,400,reference,0,true_reference,0.022307518863600787,0.1493570181263699,0.75,0.875,0.3685590329316777,0.4390042352550256
-1,2,401,reference,0,learned_reference,0.008869249523933115,0.09417669310361834,1.0,1.0,0.36059763280638824,0.429752712902542
-1,2,401,reference,0,true_reference,0.008558947735927261,0.09251458120711167,1.0,1.0,0.36291073776046956,0.4325164549759475
-1,2,402,reference,0,learned_reference,0.010156415071327937,0.10077904083353809,0.875,1.0,0.3574232175348086,0.4259412027004291
-1,2,402,reference,0,true_reference,0.00954687219369658,0.0977080968686658,0.875,1.0,0.3596920519203461,0.42864121285809687
-1,2,403,reference,0,learned_reference,0.013990182697918307,0.11828010271350929,1.0,1.0,0.36595406266451747,0.43613498952200885
-1,2,403,reference,0,true_reference,0.014187606797145702,0.11911174080310347,1.0,1.0,0.36901747241281657,0.439774729179821
-1,2,404,reference,0,learned_reference,0.02044203210021612,0.14297563463827018,0.625,0.75,0.35472339111716905,0.42277721669098234
-1,2,404,reference,0,true_reference,0.020533713022414055,0.14329589325034425,0.625,0.75,0.3568539605706533,0.4253271942460318
-1,2,405,reference,0,learned_reference,0.03167829578914364,0.17798397621455603,0.75,0.875,0.3633374518209811,0.43313352138680594
-1,2,405,reference,0,true_reference,0.032554083816062986,0.18042750293694967,0.75,0.875,0.3657916244556501,0.4360667700430175
-1,2,406,reference,0,learned_reference,0.007323988978445427,0.08558030718830954,1.0,1.0,0.36238727258900627,0.4317504357222535
-1,2,406,reference,0,true_reference,0.006832532306090338,0.08265913322852071,1.0,1.0,0.3673485776006028,0.43760044413606447
-1,2,407,reference,0,learned_reference,0.004695541671930106,0.06852402259011146,1.0,1.0,0.3483691020598725,0.41525483748567865
