batch,cell_id,commit,device,diffusion,dimension,ess_threshold,family,final_ess_fraction,groups,initialization,ks_mean,mean_absolute_error,method,minimum_ess_fraction,particles,peak_gpu_bytes,positive_mass_error,relative_path,resampling_count,score_evaluations,seconds,seed,status,steps,u_max,variance_relative_error,w1_mean
4,32,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9949965190052377,16,standard normal at finite u_max,0.06079398852924034,0.03326593889604956,cumulant,0.03699060209433711,8192,5310976,0.002610790789001838,task_004/cell_0032,12,8388608,0.33130984008312225,4,completed,128,20.0,0.06261382588527864,0.033324493056419595
4,33,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.6884023783124872,16,standard normal at finite u_max,0.063496330401694,0.031736660274844786,cv,0.2910701284554193,8192,5179904,0.003201899918386153,task_005/cell_0033,9,4194304,0.26320096105337143,4,completed,128,20.0,0.11195690800327607,0.03229482534857152
4,34,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.8477537941053905,16,standard normal at finite u_max,0.0733844856834478,0.04045346548834883,cv_cumulant,0.07749245855335714,8192,5310976,0.0026603017048597577,task_006/cell_0034,10,8388608,0.47674016654491425,4,completed,128,20.0,0.08644933796034282,0.0405499822488874
4,35,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9320340973555085,16,standard normal at finite u_max,0.07019106086822263,0.03744993918140482,full,0.4343002501364127,8192,10948608,0.001678792135135665,task_007/cell_0035,11,67108864,0.6006383113563061,0,completed,512,20.0,0.001699960818184021,0.03783903154767214
4,36,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9999999999999984,16,standard normal at finite u_max,0.12303895719756755,0.039877606219603345,unweighted,0.9999999999999987,8192,10948608,0.003201899918386153,task_008/cell_0036,0,67108864,0.5894638299942017,0,completed,512,20.0,0.43901794424668517,0.05759385175098078
4,37,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9985798308174229,16,standard normal at finite u_max,0.12791177886664284,0.0698175733144708,naive,0.4085573555619006,8192,5179904,0.0023579118606110727,task_009/cell_0037,12,16777216,0.7510391995310783,0,completed,512,20.0,0.02257309388851303,0.06995270318266912
4,38,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.7975475349292735,16,standard normal at finite u_max,0.011407154791141266,0.0018963626233530206,unbiased,0.43894799238123783,8192,5179904,0.002963860296872012,task_010/cell_0038,12,16777216,0.7569671906530857,0,completed,512,20.0,0.07735655021022414,0.006116682114870406
4,39,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.7781761155465039,16,standard normal at finite u_max,0.05739477605422311,0.02654948966361248,cumulant,0.4301318497616805,8192,5310976,0.0027336930529783254,task_011/cell_0039,9,33554432,1.2596873827278614,0,completed,512,20.0,0.11022585264385609,0.027627167748736095
4,40,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.872967520104865,16,standard normal at finite u_max,0.0365692182332491,0.017751302272197123,cv,0.40310243204566476,8192,5179904,0.0015375468175354845,task_012/cell_0040,13,16777216,1.0295259952545166,0,completed,512,20.0,0.010324500731521802,0.018426025605800492
4,41,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.5427948913222427,16,standard normal at finite u_max,0.06292147783888835,0.0332872244615966,cv_cumulant,0.46549280738968674,8192,5310976,0.004009852911210365,task_013/cell_0041,8,33554432,1.843098796904087,0,completed,512,20.0,0.037396296072625845,0.03440564256267712
4,42,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9645421904592687,16,standard normal at finite u_max,0.03538123656261888,0.02282925112892409,full,0.41602997653535007,8192,10948608,0.003201899918386153,task_014/cell_0042,11,67108864,0.6168386191129684,1,completed,512,20.0,0.0809537112830091,0.02293552727580583
4,43,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9999999999999984,16,standard normal at finite u_max,0.12370511868025078,0.03656900118049744,unweighted,0.9999999999999987,8192,10948608,0.003079829605886153,task_015/cell_0043,0,67108864,0.6130120195448399,1,completed,512,20.0,0.42947068678260114,0.054464163312592774
4,44,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9774445730859312,16,standard normal at finite u_max,0.04625653759023218,0.025850638326964104,naive,0.20216981061115255,8192,5179904,0.002823378430636736,task_016/cell_0044,12,16777216,0.7379573956131935,1,completed,512,20.0,0.06451704344711084,0.02614236414381096
4,45,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.7004954384299072,16,standard normal at finite u_max,0.04771596013038748,0.02360469329113557,unbiased,0.43238142180563344,8192,5179904,0.0028763702802343527,task_017/cell_0045,10,16777216,0.7597982250154018,1,completed,512,20.0,0.07347798853610388,0.023870406034371613
4,46,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.8546720545049614,16,standard normal at finite u_max,0.07874254826405341,0.042000024125679936,cumulant,0.334017513809504,8192,5310976,0.0021962393030225957,task_018/cell_0046,9,33554432,1.284762680530548,1,completed,512,20.0,0.14332377684254227,0.04216161118570516
4,47,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.8873427553556108,16,standard normal at finite u_max,0.037195143055740065,0.012716527652542609,cv,0.4468560751470032,8192,5179904,0.0016638122206700245,task_019/cell_0047,10,16777216,1.0701804496347904,1,completed,512,20.0,0.10116983393045997,0.015900385873648597
4,48,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.98990968355949,16,standard normal at finite u_max,0.06326684905892088,0.034797806768012696,cv_cumulant,0.46039057200712874,8192,5310976,0.0025451890167119684,task_020/cell_0048,9,33554432,1.7688316330313683,1,completed,512,20.0,0.12242294226736072,0.03548474300282886
