batch,cell_id,dataset_seed,diffusion,dimension,ess_threshold,family,groups,ks_mean,line,log_normalizer,mean_absolute_error,method,particles,phase,positive_mass_error,projection_seed,repeat,resampling_count,seconds,seconds_including_preparation,seed,setting_id,sign_joint_tv,sliced_reference_samples,sliced_w1_32,standardized_offdiagonal_second_rms,status,steps,training_seed,true_ks_mean,true_mean_absolute_error,true_positive_mass_error,true_variance_relative_error,true_w1_mean,u_max,variance_relative_error,w1_mean
4,12,-1,1.0,8,0.5,mixture,64,0.17318452169295828,factorization,47.13617426803265,0.3507883317953737,full,8192,development,0.14246962348200523,20260921,61,33,0.6743500791490078,0.6743500791490078,21000061,full,0.8967791338135129,32768,0.521670477425925,0.481166851195602,completed,512,-1,,,,,,20.0,0.18627497115830793,0.3615982999854078
4,13,-1,1.0,8,0.5,mixture,64,0.18195469795040253,factorization,53.92171703696351,0.4206538724194786,factorized_full,8192,development,0.16873168945312522,20260921,61,132,0.719415970146656,0.719415970146656,21000061,factorized_full,0.49757952785397874,32768,0.4294531299343405,0.19789483729475613,completed,512,-1,,,,,,20.0,0.14229753826922892,0.42328242046157755
4,14,-1,1.0,8,0.5,mixture,64,0.14981865515555368,factorization,47.1475521616864,0.3128775391257021,full,8192,development,0.12750352664359638,20260921,62,35,0.6767784282565117,0.6767784282565117,21000062,full,0.8707023508435927,32768,0.5491378056591834,0.5028515258013035,completed,512,-1,,,,,,20.0,0.20587133935981425,0.3211206483918412
4,15,-1,1.0,8,0.5,mixture,64,0.1332765414028123,factorization,52.05368270560753,0.2761493866797921,factorized_full,8192,development,0.11016926872642917,20260921,62,123,0.7173313833773136,0.7173313833773136,21000062,factorized_full,0.4985116514480248,32768,0.41787703073074856,0.10984415099688893,completed,512,-1,,,,,,20.0,0.13536392374527098,0.2801360341457023
4,16,-1,1.0,8,0.5,mixture,64,0.4900102612337873,factorization,49.93626873383349,1.1764830044184826,full,8192,development,0.4771509328986613,20260921,63,37,0.6737200804054737,0.6737200804054737,21000063,full,0.9541992834719059,32768,1.190689468027146,1.2420981660347663,completed,512,-1,,,,,,20.0,0.8834223609793808,1.1782179191674416
4,17,-1,1.0,8,0.5,mixture,64,0.09372274008749558,factorization,49.78451923801245,0.18718893892799396,factorized_full,8192,development,0.07408223259361667,20260921,63,117,0.7166670151054859,0.7166670151054859,21000063,factorized_full,0.2852234110174612,32768,0.2207065478918417,0.03760861345572678,completed,512,-1,,,,,,20.0,0.09889546561294169,0.18924033649980662
4,18,-1,1.0,8,0.5,mixture,64,0.3222355691341851,factorization,47.86500780830965,0.7542695489507953,full,8192,development,0.3033685897881338,20260921,64,36,0.6947572380304337,0.6947572380304337,21000064,full,0.9548362323884325,32768,1.017432834905453,0.7649617586427601,completed,512,-1,,,,,,20.0,0.43165364933604344,0.7550388380188234
4,19,-1,1.0,8,0.5,mixture,64,0.12213506385947351,factorization,51.53724221006091,0.2617425734759403,factorized_full,8192,development,0.1023415099373668,20260921,64,121,0.716838926076889,0.716838926076889,21000064,factorized_full,0.32200342389926084,32768,0.315942118846648,0.07138665965142249,completed,512,-1,,,,,,20.0,0.17859623845498904,0.262407794345558
4,20,-1,1.0,8,0.5,weak_mixture,64,0.03065285459724773,factorization,7.759135102253203,0.028035921665307023,full,8192,development,0.0217291436377251,20260921,60,4,0.6708503626286983,0.6708503626286983,21000060,full,0.13759685992735893,32768,0.03595570019175969,0.10443693369984873,completed,512,-1,,,,,,20.0,0.08762679668454615,0.0343197116503977
4,21,-1,1.0,8,0.5,weak_mixture,64,0.016228038430651633,factorization,7.724390434292789,0.011927341516881865,factorized_full,8192,development,0.00914001464843757,20260921,60,16,0.7116207219660282,0.7116207219660282,21000060,factorized_full,0.07025873883819196,32768,0.013868093240280703,0.010966380016911156,completed,512,-1,,,,,,20.0,0.04888017101112763,0.01684277723501198
4,22,-1,1.0,8,0.5,weak_mixture,64,0.027840438497847505,factorization,7.798046983398639,0.021778193979080727,full,8192,development,0.020476932966705032,20260921,61,4,0.6723215728998184,0.6723215728998184,21000061,full,0.10691391725315866,32768,0.03042198009141188,0.040118430841982945,completed,512,-1,,,,,,20.0,0.049768899643038475,0.026251053281004473
4,23,-1,1.0,8,0.5,weak_mixture,64,0.012134298040503828,factorization,7.819538357078902,0.00804789776327584,factorized_full,8192,development,0.006058975441611922,20260921,61,16,0.7117868512868881,0.7117868512868881,21000061,factorized_full,0.0721408865462818,32768,0.012428467957677197,0.010251939394815331,completed,512,-1,,,,,,20.0,0.03606629614968605,0.011797937156793219
4,24,-1,1.0,8,0.5,weak_mixture,64,0.02240132404454763,factorization,7.7828128771052825,0.02113256371681408,full,8192,development,0.018218403675866794,20260921,62,4,0.6721290946006775,0.6721290946006775,21000062,full,0.10939542187349646,32768,0.01934230701087058,0.04086149720367727,completed,512,-1,,,,,,20.0,0.027176957265363344,0.02276317446406346
4,25,-1,1.0,8,0.5,weak_mixture,64,0.022648620535440242,factorization,7.826572225906419,0.020877315315239717,factorized_full,8192,development,0.01646546958223684,20260921,62,17,0.7088000364601612,0.7088000364601612,21000062,factorized_full,0.07865227652075135,32768,0.020311493242522443,0.011548968239993846,completed,512,-1,,,,,,20.0,0.046571486379419866,0.02299036942522293
4,26,-1,1.0,8,0.5,weak_mixture,64,0.02130214383618426,factorization,7.839473137294978,0.01737396360579803,full,8192,development,0.014350231397739888,20260921,63,4,0.6711601503193378,0.6711601503193378,21000063,full,0.10901707254439676,32768,0.02224890507790242,0.04577147939316154,completed,512,-1,,,,,,20.0,0.026755792341219872,0.020608595085749092
4,27,-1,1.0,8,0.5,weak_mixture,64,0.015128302642492637,factorization,7.797079382933664,0.012208267196317964,factorized_full,8192,development,0.008453369140625014,20260921,63,17,0.7084022909402847,0.7084022909402847,21000063,factorized_full,0.0726582056365659,32768,0.013144546383120886,0.012211609892982271,completed,512,-1,,,,,,20.0,0.03756080994040581,0.015159043936701491
4,28,-1,1.0,8,0.5,weak_mixture,64,0.02515684569986179,factorization,7.900551909161038,0.019027770315851865,full,8192,development,0.019156893196739244,20260921,64,4,0.6705545894801617,0.6705545894801617,21000064,full,0.10465455176697408,32768,0.02239337583932418,0.03548948558527357,completed,512,-1,,,,,,20.0,0.0708358063072427,0.026065253206023292
4,29,-1,1.0,8,0.5,weak_mixture,64,0.03051002030265257,factorization,8.00480162334076,0.029930372640210017,factorized_full,8192,development,0.01921205161348695,20260921,64,17,0.710282601416111,0.710282601416111,21000064,factorized_full,0.11641872104761633,32768,0.058785725550949845,0.01627742341681641,completed,512,-1,,,,,,20.0,0.09902429815650357,0.03462042705518656
4,30,500,1.0,8,0.5,learned,64,0.08151840703681383,factorization,236.81768795949108,0.017722695567898426,full,8192,development,8.366106454377187e-05,20260921,0,85,0.6801614761352539,0.6801614761352539,21015010,full,0.0006684964641365931,32768,0.018843474715180296,0.05419760291554359,completed,512,0,0.08594570507589094,0.018835891707123062,0.00016489134919123183,0.157748803643048,0.020671530485791612,20.0,0.1644343952864735,0.01984506864572565
4,31,500,1.0,8,0.5,learned,64,0.06729298551632258,factorization,256.10235521692596,0.015034559170187575,factorized_full,8192,development,0.00036239996123899054,20260921,0,343,0.7551588378846645,0.7551588378846645,21015010,factorized_full,0.0028984076376982085,32768,0.015565777132124778,0.03134737246241955,completed,512,0,0.0691184383857354,0.01685506982099911,0.0004436302458864505,0.13646315692399205,0.01742145915124009,20.0,0.14364631519417015,0.016625837647693452
4,32,501,1.0,8,0.5,learned,64,0.13069333478032166,factorization,101.11851293339026,0.030537251891081696,full,8192,development,0.039056610382476806,20260921,0,83,0.7395238690078259,0.7395238690078259,21015020,full,0.19679683167894013,32768,0.0322147263186177,0.23341962077290254,completed,512,0,0.1288699331478968,0.03023364832761039,0.034697624711383185,0.27285939256395886,0.03161218696440125,20.0,0.27390028605641487,0.03284801396199691
4,33,501,1.0,8,0.5,learned,64,0.08790272594417109,factorization,114.86516440232279,0.0216704525678083,factorized_full,8192,development,0.025764781527923178,20260921,0,317,0.7329924926161766,0.7329924926161766,21015020,factorized_full,0.1841890516348304,32768,0.024334833466095565,0.052274096659869776,completed,512,0,0.0897688751987187,0.02201537566138497,0.022452135592483824,0.14654433135181827,0.02308695166998467,20.0,0.1467878412203615,0.022596632947032735
4,34,502,1.0,8,0.5,learned,64,0.08414019604498485,factorization,197.0853890809461,0.018067598427022408,full,8192,development,2.4429481164378597e-07,20260921,0,87,0.6810078471899033,0.6810078471899033,21015030,full,1.95435847905223e-06,32768,0.019412700088003023,0.042895627948612125,completed,512,0,0.09487386497340088,0.021343327606090895,3.0151759845831183e-07,0.20755862887677443,0.022426602969040546,20.0,0.20724762779197103,0.019968343259537464
4,35,502,1.0,8,0.5,learned,64,0.05889569785338155,factorization,220.64499323105076,0.013573697430151244,factorized_full,8192,development,2.442948116992971e-07,20260921,0,342,0.7292837537825108,0.7292837537825108,21015030,factorized_full,1.9543584784971184e-06,32768,0.015074467680230245,0.01937591220882592,completed,512,0,0.06897511516369469,0.017057309739640286,3.01517598513823e-07,0.13229891897193408,0.01782976959419595,20.0,0.13216790951764718,0.014948329290835567
4,36,503,1.0,8,0.5,learned,64,0.11553500745102224,factorization,161.73588527052294,0.026756322803129767,full,8192,development,0.005603108467926901,20260921,0,89,0.678291093558073,0.678291093558073,21015040,full,0.04461610598188999,32768,0.031715509186589164,0.0981641059879398,completed,512,0,0.11381471154324005,0.026064918126305934,0.0060272328015729265,0.19088586093548007,0.028822987280382798,20.0,0.19422408905148675,0.028916989797480513
4,37,503,1.0,8,0.5,learned,64,0.05390079527074801,factorization,173.64418951862666,0.012417936055771222,factorized_full,8192,development,0.0028395244392495356,20260921,0,329,0.7292302325367928,0.7292302325367928,21015040,factorized_full,0.02250743375246902,32768,0.012983070992928863,0.02031801102285243,completed,512,0,0.053611086418787625,0.011622417798644622,0.003263648772895561,0.13297193184992803,0.012961930518614544,20.0,0.13515243450693532,0.01412460330568158
4,38,504,1.0,8,0.5,learned,64,0.09428022485591678,factorization,179.81879751593482,0.022725454066137633,full,8192,development,0.005069114124556042,20260921,0,81,0.7403761073946953,0.7403761073946953,21015050,full,0.040587392508052836,32768,0.022292756173482187,0.09610175346981457,completed,512,0,0.09429622657360406,0.022696770343127,0.0051101355329248276,0.14885601929741163,0.024522420797105062,20.0,0.1566919062847065,0.024129879249289107
4,39,504,1.0,8,0.5,learned,64,0.06234316665995245,factorization,205.4300129284294,0.014181077882430556,factorized_full,8192,development,0.0027361230869697994,20260921,0,327,0.731564998626709,0.731564998626709,21015050,factorized_full,0.02185951169863886,32768,0.018309231612336135,0.02189745091724,completed,512,0,0.07576460300787963,0.01814191863511325,0.002696172649052253,0.1290548461200402,0.020679853713557503,20.0,0.13815386701144255,0.016515930654730213
