anchor_preparation,batch,cell_id,dataset_seed,diffusion,dimension,ess_fraction,factor_calls,family,groups,ks_mean,line,log_normalizer,mean_absolute_error,method,particles,phase,positive_mass_error,preparation_calls,preparation_derivative_calls,projection_seed,repeat,resampling_count,seconds,seconds_including_preparation,seed,setting_id,sign_joint_tv,sliced_reference_samples,sliced_w1_32,standardized_offdiagonal_second_rms,status,steps,training_seed,true_ks_mean,true_mean_absolute_error,true_positive_mass_error,true_variance_relative_error,true_w1_mean,u_max,variance_relative_error,w1_mean
"{'preparation_calls': 917504, 'preparation_seconds': 0.6544194146990776, 'preparation_factor_calls_per_grid_point': 448, 'newton_iterations': 6, 'anchor_grid_points': 2048, 'anchor_rule': 'parameter-only six-step clipped Newton fixed-point iteration'}",4,11,703,1.0,8,0.5,269352960,learned,64,0.05838442123311577,anchored_confirmation,106.96780164630185,0.01226803581318831,tail_anchored,32768,confirmation,0.01123284479327119,917504,786432,20260921,0,112,5.208624977618456,5.208624977618456,21017040,tail_anchored,0.07965516959441221,32768,0.015383619976092203,0.036381883698263714,completed,2048,0,0.07821575268711033,0.018175347744566688,0.01849039933182041,0.16014974016644468,0.01980391352328178,20.0,0.16129641099072384,0.014731311111420673
,4,12,704,1.0,8,0.5,4294967296,learned,64,0.06399600787146213,anchored_confirmation,91.19901857582778,0.013401130444531992,full,32768,confirmation,0.0113545543125885,0,0,20260921,0,91,6.107471719384193,6.107471719384193,21017050,full,0.06058780247986954,32768,0.017783750170004345,0.042698574169020356,completed,2048,0,0.06288522942763997,0.01326268865098963,0.01327787763195934,0.17764583701454412,0.016443838278836602,20.0,0.1830687441628071,0.01634868625384227
,4,13,704,1.0,8,0.5,268435456,learned,64,0.30128756629399694,anchored_confirmation,754.5440308175566,0.07791090033973086,tail_fixed,32768,confirmation,0.04243335578524121,0,0,20260921,0,428,4.317961152642965,4.317961152642965,21017050,tail_fixed,0.20317070768269793,32768,0.10853696043190633,0.9157486020695974,completed,2048,0,0.3032272612985675,0.07916992770932901,0.04435667910461205,0.37063367068184494,0.08500117542287165,20.0,0.37477068898933596,0.08431987872833646
"{'preparation_calls': 917504, 'preparation_seconds': 0.6547005772590637, 'preparation_factor_calls_per_grid_point': 448, 'newton_iterations': 6, 'anchor_grid_points': 2048, 'anchor_rule': 'parameter-only six-step clipped Newton fixed-point iteration'}",4,14,704,1.0,8,0.5,269352960,learned,64,0.06980503277757823,anchored_confirmation,91.9530570535188,0.015635235552727972,tail_anchored,32768,confirmation,0.012034376289828008,917504,786432,20260921,0,106,5.302405036985874,5.302405036985874,21017050,tail_anchored,0.05911471508613432,32768,0.018106725612950257,0.03624056063053633,completed,2048,0,0.0683242347613446,0.015264052221082729,0.013141887350954173,0.17567936187450794,0.01683589596595481,20.0,0.1811294751322518,0.017359635504331145
,4,15,705,1.0,8,0.5,4294967296,learned,64,0.10832338943283237,anchored_confirmation,131.56011215058575,0.025525696191567582,full,32768,confirmation,4.276698584604333e-06,0,0,20260921,0,95,6.103993982076645,6.103993982076645,21017060,full,3.421327674372683e-05,32768,0.029793341505057806,0.10762626832676074,completed,2048,0,0.11355365941954329,0.02667691643218082,3.2864561416851013e-06,0.16135639589563516,0.02839236778817473,20.0,0.162665924842232,0.026452439680485437
,4,16,705,1.0,8,0.5,268435456,learned,64,0.3900904670677301,anchored_confirmation,923.3143172492487,0.10239725642961961,tail_fixed,32768,confirmation,4.276698584604333e-06,0,0,20260921,0,470,4.3159572295844555,4.3159572295844555,21017060,tail_fixed,3.421327674084025e-05,32768,0.09100768072977716,0.9806950157455465,completed,2048,0,0.3882408724017449,0.10130640262832945,3.2864561416851013e-06,0.38600992564160785,0.10197652245513741,20.0,0.38697773576734507,0.10289878539205523
"{'preparation_calls': 917504, 'preparation_seconds': 0.65526969358325, 'preparation_factor_calls_per_grid_point': 448, 'newton_iterations': 6, 'anchor_grid_points': 2048, 'anchor_rule': 'parameter-only six-step clipped Newton fixed-point iteration'}",4,17,705,1.0,8,0.5,269352960,learned,64,0.07861929672749204,anchored_confirmation,136.465098150626,0.018524859199441433,tail_anchored,32768,confirmation,4.276698584604333e-06,917504,786432,20260921,0,111,5.208428330719471,5.208428330719471,21017060,tail_anchored,3.421327674161741e-05,32768,0.017447398110158226,0.05259115354482827,completed,2048,0,0.076997314371096,0.017420200691179014,3.2864561416851013e-06,0.1435237863530362,0.01962616504945583,20.0,0.14505768894556104,0.01947773992477037
,4,18,706,1.0,8,0.5,4294967296,learned,64,0.07561175246199092,anchored_confirmation,87.89824428992308,0.01739158508844766,full,32768,confirmation,0.011622161516573859,0,0,20260921,0,97,6.108228582888842,6.108228582888842,21017070,full,0.09184648704410606,32768,0.01710500822142367,0.07549220677817582,completed,2048,0,0.07905060828972223,0.018306501574786097,0.01464094391320235,0.14371938973850606,0.01962066847234451,20.0,0.1458519742559599,0.018646857026099136
,4,19,706,1.0,8,0.5,268435456,learned,64,0.3150938742898558,anchored_confirmation,479.85053750955876,0.08223773165757556,tail_fixed,32768,confirmation,0.010272454041632344,0,0,20260921,0,377,4.307730861008167,4.307730861008167,21017070,tail_fixed,0.0778081596579761,32768,0.08408535866428693,0.7554051792769454,completed,2048,0,0.29839916327803184,0.07703611910383937,0.007834279767778847,0.29763709727211896,0.07807363006490252,20.0,0.29925604024727387,0.08283778750242428
"{'preparation_calls': 917504, 'preparation_seconds': 0.7358584851026535, 'preparation_factor_calls_per_grid_point': 448, 'newton_iterations': 6, 'anchor_grid_points': 2048, 'anchor_rule': 'parameter-only six-step clipped Newton fixed-point iteration'}",4,20,706,1.0,8,0.5,269352960,learned,64,0.06792381983723424,anchored_confirmation,84.74779193897244,0.013673551994996544,tail_anchored,32768,confirmation,0.020097959697714808,917504,786432,20260921,0,107,5.290995761752129,5.290995761752129,21017070,tail_anchored,0.1404490346899357,32768,0.01883154767550629,0.06326128586514751,completed,2048,0,0.06115717689326084,0.011423573287984752,0.023374719731459347,0.17681319005131202,0.015414654948099274,20.0,0.17866854573290308,0.01686039196936344
,4,21,707,1.0,8,0.5,4294967296,learned,64,0.09254371602617108,anchored_confirmation,108.88600196870458,0.021784636290917377,full,32768,confirmation,0.012130047084780323,0,0,20260921,0,101,6.109647758305073,6.109647758305073,21017080,full,0.096184404036034,32768,0.024718603473982543,0.08155016785462321,completed,2048,0,0.09626411434446662,0.022952204363168496,0.00916084365112876,0.15342884868995826,0.023763913262687862,20.0,0.15243413350067436,0.02392416171703194
,4,22,707,1.0,8,0.5,268435456,learned,64,0.5332288372595579,anchored_confirmation,1640.7809264320615,0.1424392962430654,tail_fixed,32768,confirmation,0.049935834743479374,0,0,20260921,0,482,4.3478570356965065,4.3478570356965065,21017080,tail_fixed,0.3988505218102881,32768,0.14801856735773836,2.466564194182411,completed,2048,0,0.543123874879858,0.14528764227928043,0.05283242257151052,0.5844512027640238,0.15156996826882296,20.0,0.58388549448786,0.14951927412425542
"{'preparation_calls': 917504, 'preparation_seconds': 0.7353930957615376, 'preparation_factor_calls_per_grid_point': 448, 'newton_iterations': 6, 'anchor_grid_points': 2048, 'anchor_rule': 'parameter-only six-step clipped Newton fixed-point iteration'}",4,23,707,1.0,8,0.5,269352960,learned,64,0.05089022549890711,anchored_confirmation,108.31933623262988,0.00992919493923488,tail_anchored,32768,confirmation,0.005817259627656119,917504,786432,20260921,0,113,5.29508088901639,5.29508088901639,21017080,tail_anchored,0.045953743937446646,32768,0.01226664810614465,0.03325331590407428,completed,2048,0,0.05896907261261276,0.012434974470439621,0.008713847455687268,0.1674389786073906,0.01467104484073026,20.0,0.1663727527150987,0.012055040653425806
,4,24,708,1.0,8,0.5,4294967296,learned,64,0.0927646008981036,anchored_confirmation,76.8077303827308,0.019049440556258353,full,32768,confirmation,0.017172247631139774,0,0,20260921,0,94,6.102051801979542,6.102051801979542,21017090,full,0.08345044145210606,32768,0.022606612168174597,0.0584555106218158,completed,2048,0,0.09006662257801476,0.018992344593681827,0.020920079538347992,0.20021706709578047,0.02079042258501896,20.0,0.20026552024192618,0.022334373705165816
,4,25,708,1.0,8,0.5,268435456,learned,64,0.26891455668142883,anchored_confirmation,355.3454471636235,0.07193147627846277,tail_fixed,32768,confirmation,0.04609298293032824,0,0,20260921,0,364,4.402197998017073,4.402197998017073,21017090,tail_fixed,0.28948687630461756,32768,0.09755603875322633,0.6492088445514578,completed,2048,0,0.25436314147988714,0.0673302708776664,0.04419019200270692,0.26636491100530224,0.07018460638055572,20.0,0.2664517123905458,0.07396832330291846
"{'preparation_calls': 917504, 'preparation_seconds': 0.6550572328269482, 'preparation_factor_calls_per_grid_point': 448, 'newton_iterations': 6, 'anchor_grid_points': 2048, 'anchor_rule': 'parameter-only six-step clipped Newton fixed-point iteration'}",4,26,708,1.0,8,0.5,269352960,learned,64,0.05846474939802096,anchored_confirmation,77.51542293696878,0.01223663283135128,tail_anchored,32768,confirmation,0.015036267166218798,917504,786432,20260921,0,106,5.204767886549234,5.204767886549234,21017090,tail_anchored,0.07954884365764987,32768,0.013482027061668116,0.03835431666460427,completed,2048,0,0.042072754890054555,0.006917397705786699,0.012674037029091121,0.1612520313463085,0.011318527318237005,20.0,0.16125000359188074,0.01414817361093296
,4,27,709,1.0,8,0.5,4294967296,learned,64,0.05080587922757764,anchored_confirmation,74.71435521923684,0.009221440647098688,full,32768,confirmation,0.0039569578084052825,0,0,20260921,0,92,6.103345740586519,6.103345740586519,21017100,full,0.030182904487855357,32768,0.012752347650916715,0.03173026294895918,completed,2048,0,0.04941441050701781,0.00868228762432189,0.003759078946124315,0.1831718404298272,0.012503388130467355,20.0,0.18470196352365786,0.012867844055651367
