batch,cell_id,covariance_error,coverage90,coverage95,dataset_seed,dimension,groups,line,log_normalizer,mean_error,method,particles,phase,proposal_scale,regime,seconds,seconds_including_preparation,seed,setting_id,sliced_w1_32,stages,state_mse,status,steps,w1_mean,width90,width95
,35,0.0011861373423087465,1.0,1.0,1205,2,12,sensor,,0.0014552016704468898,exact,16384,confirmation,,ambiguous,0.004232820123434067,0.004232820123434067,5101405,exact,0.00535687353605663,,0.02123566564612788,completed,,0.0056798476550063625,1.2979134335279312,1.5681482442905939
4,36,0.009522406456870216,1.0,1.0,1206,2,12,sensor,0.6564462090935095,0.005895038576015451,full,16384,confirmation,,ambiguous,1.3571675196290016,1.3571675196290016,5101406,full_n16384_k2048_m4,0.00779193731377082,,0.09335867095134445,completed,2048,0.008132340804730881,1.4517672537517983,2.8696998760072985
8,37,0.04091766384980015,1.0,1.0,1206,2,12,sensor,0.6517758417427135,0.014928663590782919,tail_anchored,16384,confirmation,,ambiguous,2.2767767012119293,2.2767767012119293,5101406,tail_anchored_n16384_k2048_m8,0.017264206322072595,,0.0995355531432652,completed,2048,0.01645501460889437,1.514531656162285,2.9605061239512573
4,38,0.011905336622836183,1.0,1.0,1206,2,12,sensor,1.008874655121807,0.012500651967902265,tail_fixed,16384,confirmation,,ambiguous,1.9215390756726265,1.9215390756726265,5101406,tail_fixed,0.012099753126074605,,0.10259683665660335,completed,2048,0.013124116046577202,1.4886459073365539,2.9311019314064577
4,39,0.013154399233122845,1.0,1.0,1206,2,12,sensor,0.7415660070486103,0.006586433602006524,unbiased,16384,confirmation,,ambiguous,1.467243880033493,1.467243880033493,5101406,unbiased,0.013763119958351503,,0.09636730329299836,completed,2048,0.012990124968655963,1.4926686260241013,2.925400955909304
,40,0.0057699650047956606,1.0,1.0,1206,2,12,sensor,-24.195286422739088,0.0034702782852478846,annealed_smc,16384,confirmation,0.15,ambiguous,0.10091105848550797,0.10091105848550797,5101406,smc_k64_scale0.15,0.005977372939982902,64,0.09286360840542582,completed,,0.005609902011643129,1.4532464759102555,2.8588678682800053
,41,0.0015586631197574508,1.0,1.0,1206,2,12,sensor,,0.0031685644017737558,exact,16384,confirmation,,ambiguous,0.004573367536067963,0.004573367536067963,5101406,exact,0.005682909186551797,,0.09460665772506124,completed,,0.005447022068266973,1.4483655299856268,2.881456875126153
4,42,0.0062399385135690506,1.0,1.0,1207,2,12,sensor,1.009490130005231,0.0031676753890894733,full,16384,confirmation,,ambiguous,1.3583346381783485,1.3583346381783485,5101407,full_n16384_k2048_m4,0.008519951412863155,,0.045774649719876166,completed,2048,0.00856746858776282,1.5433676382031132,1.8328632961209692
8,43,0.0035416179591987347,1.0,1.0,1207,2,12,sensor,1.0086210625661112,0.008930355689679063,tail_anchored,16384,confirmation,,ambiguous,2.4142962768673897,2.4142962768673897,5101407,tail_anchored_n16384_k2048_m8,0.010760792379163598,,0.048184315248933775,completed,2048,0.009981979527176311,1.5206486913031982,1.8273001215867228
4,44,0.00746120730978028,1.0,1.0,1207,2,12,sensor,1.0220847539982998,0.004162596820667714,tail_fixed,16384,confirmation,,ambiguous,1.9246625863015652,1.9246625863015652,5101407,tail_fixed,0.009919090764696189,,0.04666831704510517,completed,2048,0.010358444557524242,1.543052073186395,1.8554368430041752
4,45,0.010548829910876273,1.0,1.0,1207,2,12,sensor,1.0254185689004514,0.013355327427886,unbiased,16384,confirmation,,ambiguous,1.4761452302336693,1.4761452302336693,5101407,unbiased,0.015242566703910533,,0.05012707886682111,completed,2048,0.01573806478360919,1.565273115134704,1.8893967360591073
,46,0.0026550898584843355,1.0,1.0,1207,2,12,sensor,-16.34786655379824,0.0029431115947372256,annealed_smc,16384,confirmation,0.15,ambiguous,0.10375900939106941,0.10375900939106941,5101407,smc_k64_scale0.15,0.0044572582495837525,64,0.04436067194119593,completed,,0.004673270716201904,1.51853117329114,1.8079828380744076
,47,0.001163181108353061,1.0,1.0,1207,2,12,sensor,,0.0016536577693639222,exact,16384,confirmation,,ambiguous,0.004742365330457687,0.004742365330457687,5101407,exact,0.0039543672361063474,,0.04631239835773961,completed,,0.004359411182391674,1.5149118541680564,1.8104816764709613
4,48,0.011470869955194193,1.0,1.0,1208,2,12,sensor,-1.2872013390122463,0.014842329659185064,full,16384,confirmation,,ambiguous,1.415555253624916,1.415555253624916,5101408,full_n16384_k2048_m4,0.019296005495855858,,0.6716661436395167,completed,2048,0.01838187415588911,2.3035447825936544,2.5858612387713253
