batch,cell_id,dataset_seed,diffusion,dimension,ess_fraction,family,groups,ks_mean,line,log_normalizer,mean_absolute_error,method,particles,phase,positive_mass_error,projection_seed,repeat,seconds,seconds_including_preparation,seed,setting_id,sign_joint_tv,sliced_reference_samples,sliced_w1_32,standardized_offdiagonal_second_rms,status,steps,training_seed,true_ks_mean,true_mean_absolute_error,true_positive_mass_error,true_variance_relative_error,true_w1_mean,u_max,variance_relative_error,w1_mean
4,332,903,1.0,8,0.5,learned,64,0.08035870306066756,paper_anchor,156.48142436161027,0.017654836455219862,full,32768,confirmation,0.012485725286813224,20260921,0,6.082162749022245,6.082162749022245,21059040,full,0.07398153483985453,32768,0.020682756490595176,0.05856307899421844,completed,2048,4,0.1044144103354321,0.02383526374777232,0.015458433297878669,0.1846192197849566,0.026752629558898608,20.0,0.18564901429515765,0.019938170001640686
4,333,903,1.0,8,0.5,learned,64,0.06095492379738562,paper_anchor,178.11884140056742,0.014969174155912375,factorized_full,32768,confirmation,0.012288991947380798,20260921,0,6.1322474628686905,6.1322474628686905,21059040,factorized_full,0.06862867427426211,32768,0.0149008478510161,0.020755836197073017,completed,2048,4,0.0943585030854426,0.02428428698723711,0.015261699958446243,0.1082772394415131,0.024651066720274367,20.0,0.10642901282533031,0.015837543474711634
8,334,903,1.0,8,0.5,learned,64,0.08978533947033965,paper_anchor,157.23568947150872,0.01874335767589966,tail_anchored,8192,confirmation,0.021636986544857986,20260921,0,1.2713318318128586,1.2713318318128586,21059040,anchor_n8192_k1024_m8,0.10817067769606695,32768,0.022551746069887243,0.056368355410656434,completed,1024,4,0.12040633521683741,0.02745118779943228,0.024628553419818257,0.2178713991939122,0.02969288382343775,20.0,0.21871350103057874,0.02227252997890273
4,335,903,1.0,8,0.5,learned,64,0.06794588499709268,paper_anchor,171.30823780177838,0.014342916786669529,tail_anchored,32768,confirmation,0.008264134176853013,20260921,0,3.8902204670011997,3.8902204670011997,21059040,anchor_n32768_k2048_m4,0.06300955103405899,32768,0.014391589492830256,0.04594855333112539,completed,2048,4,0.09174921667406664,0.02097614516451842,0.010772768889955956,0.17637405422480198,0.022768948968226,20.0,0.1770628166165231,0.016432988282127525
4,336,904,1.0,8,0.5,learned,64,0.10087773136229383,paper_anchor,116.0993654513209,0.023432877810049144,full,32768,confirmation,0.04558990877907681,20260921,0,6.105117868632078,6.105117868632078,21059050,full,0.17892194717133988,32768,0.020484067946846513,0.06909341161529779,completed,2048,4,0.11253981003101858,0.026810496386387387,0.04370635374407001,0.19989741229455305,0.028744547554722034,20.0,0.20115678768499773,0.025347616664156664
4,337,904,1.0,8,0.5,learned,64,0.07079418310957969,paper_anchor,127.20147833476463,0.017002495390770776,factorized_full,32768,confirmation,0.012565543710015725,20260921,0,6.172709655016661,6.172709655016661,21059050,factorized_full,0.07258505738617596,32768,0.02016382958626066,0.0334218710930164,completed,2048,4,0.08093790341192682,0.019985243824751163,0.011526798930616686,0.09201226307619462,0.021862107741402105,20.0,0.09696979993089595,0.018139535889968653
8,338,904,1.0,8,0.5,learned,64,0.07286921392366166,paper_anchor,116.82570454340149,0.013969038288130016,tail_anchored,8192,confirmation,0.02066376907838073,20260921,0,1.3024353571236134,1.3024353571236134,21059050,anchor_n8192_k1024_m8,0.09119718353627501,32768,0.017704333096458143,0.047834937582322,completed,1024,4,0.09791886868490815,0.021566072414797913,0.021679751574685907,0.2274491138686421,0.02363000208946174,20.0,0.22822023481864256,0.01713440778355792
4,339,904,1.0,8,0.5,learned,64,0.0609450639595204,paper_anchor,116.82663508895622,0.014446862631728483,tail_anchored,32768,confirmation,0.017990501552143184,20260921,0,3.9038174860179424,3.9038174860179424,21059050,anchor_n32768_k2048_m4,0.0825516487911355,32768,0.018456331102945374,0.06613007123657448,completed,2048,4,0.08344151828971537,0.02072457601919222,0.01759157128426471,0.1178859067159207,0.022485157859939972,20.0,0.11901035563871794,0.01633106262914888
4,340,905,1.0,8,0.5,learned,64,0.15650748991900643,paper_anchor,61.24866261828865,0.03553786947502124,full,32768,confirmation,0.018037418197285417,20260921,0,6.1538455337285995,6.1538455337285995,21059060,full,0.1394090055538772,32768,0.03848652023497287,0.1849189046220029,completed,2048,4,0.16450923664763212,0.038135460587310765,0.018273304237234382,0.24305921283252846,0.04020622254879282,20.0,0.2400674532953832,0.03888079428320605
4,341,905,1.0,8,0.5,learned,64,0.02988492448680994,paper_anchor,68.8077419880662,0.004712776985865341,factorized_full,32768,confirmation,0.004587571209649324,20260921,0,6.1279852241277695,6.1279852241277695,21059060,factorized_full,0.03463130911959966,32768,0.006785650236523442,0.004714746793925166,completed,2048,4,0.03678815802881323,0.006307833658925942,0.00482345724959829,0.1200565163096353,0.008599417561114217,20.0,0.11861749157783763,0.0074155353860292875
