batch,cell_id,dataset_seed,diffusion,dimension,ess_fraction,family,groups,ks_mean,line,log_normalizer,mean_absolute_error,method,particles,phase,positive_mass_error,projection_seed,repeat,seconds,seconds_including_preparation,seed,setting_id,sign_joint_tv,sliced_reference_samples,sliced_w1_32,standardized_offdiagonal_second_rms,status,steps,training_seed,true_ks_mean,true_mean_absolute_error,true_positive_mass_error,true_variance_relative_error,true_w1_mean,u_max,variance_relative_error,w1_mean
4,10,801,1.0,8,0.5,learned,64,0.05227156791102719,paper_anchor,89.11073734484572,0.011651042660032824,factorized_full,32768,development,0.012004318080963958,20260921,0,6.122393798083067,6.122393798083067,21018020,factorized_full,0.07251925161479045,32768,0.011328939151384361,0.014873191497861534,completed,2048,0,0.040165332345620905,0.007939015923774842,0.006109727901446038,0.11550585925315657,0.00989815125716614,20.0,0.11629194849568997,0.013136279156280047
4,11,801,1.0,8,0.5,learned,64,0.1086442248565282,paper_anchor,92.43589796657089,0.024783674544606768,tail_anchored,8192,development,0.015455665770149885,20260921,0,1.0302686542272568,1.0302686542272568,21018020,anchor_n8192_k1024_m4,0.09569221080280321,32768,0.026721231857046064,0.08464085658392623,completed,1024,0,0.10519971067656586,0.023616693808181696,0.01734452362950573,0.2259647180484156,0.026763700686080343,20.0,0.22873669939819047,0.027039801843964463
8,12,801,1.0,8,0.5,learned,64,0.08580500544951697,paper_anchor,85.68286912573626,0.0183683210217301,tail_anchored,8192,development,0.013574023345431199,20260921,0,1.2325259745121002,1.2325259745121002,21018020,anchor_n8192_k1024_m8,0.08153681496138598,32768,0.01998393768290234,0.06255883511427633,completed,1024,0,0.09665663552335824,0.021809414417032342,0.013838168255359298,0.18821176577032467,0.02341995241924462,20.0,0.1937780020792273,0.021194468007508252
16,13,801,1.0,8,0.5,learned,64,0.04348943686268295,paper_anchor,84.63401175416492,0.006207781245815204,tail_anchored,8192,development,0.009878246643963817,20260921,0,1.5895424336194992,1.5895424336194992,21018020,anchor_n8192_k1024_m16,0.06382019586397958,32768,0.01171765684563812,0.037699468875935935,completed,1024,0,0.04867519409357854,0.0071173374791742156,0.003275178634075389,0.1957013027267217,0.012444482176984312,20.0,0.19855230396820045,0.011495597024188868
4,14,801,1.0,8,0.5,learned,64,0.12102785944186689,paper_anchor,86.98057895195647,0.029483566598747513,tail_anchored,32768,development,0.023471075819324762,20260921,0,3.8187556490302086,3.8187556490302086,21018020,anchor_n32768_k2048_m4,0.10709238574189303,32768,0.03185388136944875,0.13929596016212134,completed,2048,0,0.130609519448176,0.03244498151276762,0.025359933678680606,0.16130574965821048,0.033450332957081025,20.0,0.16235402856657194,0.031107265478837284
8,15,801,1.0,8,0.5,learned,64,0.11088278895158189,paper_anchor,85.96276531159336,0.027001071282053167,tail_anchored,32768,development,0.01493692239147733,20260921,0,5.385681763291359,5.385681763291359,21018020,anchor_n32768_k2048_m8,0.08223028690618317,32768,0.03074755448882507,0.091295107013146,completed,2048,0,0.11302435591072107,0.027835363652452337,0.016825780250833172,0.1542415828062312,0.029245143877375066,20.0,0.15658801083139667,0.028306460920560696
16,16,801,1.0,8,0.5,learned,64,0.07038919868903937,paper_anchor,85.01470045466831,0.015045130099487857,tail_anchored,32768,development,0.006944357868138646,20260921,0,8.223446667194366,8.223446667194366,21018020,anchor_n32768_k2048_m16,0.039892345848199576,32768,0.019899190961931924,0.03683303463229752,completed,2048,0,0.0787787667021,0.01790359441920813,0.002408002286990288,0.17753378018588484,0.019650185779576973,20.0,0.18049470511046578,0.01833700560440372
4,17,801,1.0,8,0.5,learned,64,0.07978635277417884,paper_anchor,80.93106941534853,0.018801269526178964,tail_anchored,32768,development,0.018046842040161003,20260921,0,7.734756778925657,7.734756778925657,21018020,anchor_n32768_k4096_m4,0.0947665887985205,32768,0.02196169604123001,0.09611683953397385,completed,4096,0,0.09562673055471613,0.023377543173119738,0.019462664425705958,0.1554530050555477,0.02559432906437968,20.0,0.1579638489138112,0.020891316153090478
4,18,802,1.0,8,0.5,learned,64,0.06293175728798281,paper_anchor,109.44547960336784,0.014812137110653309,full,32768,development,2.6564645677629173e-08,20260921,0,6.102665897458792,6.102665897458792,21018030,full,2.1251716275644378e-07,32768,0.015517068732707608,0.044950745553870054,completed,2048,0,0.05694558227962643,0.012780329824299344,3.957804040055635e-08,0.15186837915694124,0.013698420009405169,20.0,0.155317370617659,0.015643933298483723
4,19,802,1.0,8,0.5,learned,64,0.09854723535513187,paper_anchor,130.8506335057042,0.02474394429463335,factorized_full,32768,development,2.6564645677629173e-08,20260921,0,6.129464019089937,6.129464019089937,21018030,factorized_full,2.1251716542097904e-07,32768,0.033599216418751805,0.06986005103723772,completed,2048,0,0.08973692811247719,0.02190174195615803,3.957804040055635e-08,0.11893062625019492,0.023181476230324728,20.0,0.11769956757699933,0.026001377074971313
