cell_id,training_seed,dataset_seed,setting_id,particles,method,mse,rmse,coverage90,coverage95,width90,width95
26,0,708,tail_anchored,32768,tail_anchored,0.010612885267303886,0.1030188587944163,0.875,1.0,0.3255483253367266,0.3872822440403392
27,0,709,full,32768,full,0.015500562671416106,0.12450125570216594,0.75,0.875,0.3340595600682703,0.3971015046836539
28,0,709,tail_fixed,32768,tail_fixed,0.023547558098125095,0.15345213617973877,0.75,0.75,0.32542031245528996,0.39027444779866144
29,0,709,tail_anchored,32768,tail_anchored,0.016790049779670302,0.12957642447478748,0.75,0.75,0.352416487707815,0.41779341884140553
30,1,700,full,32768,full,0.009233138445044016,0.09608922127400146,1.0,1.0,0.3350930533700944,0.3994451092429762
31,1,700,tail_fixed,32768,tail_fixed,0.0299321941319151,0.1730092313488361,0.75,0.75,0.26445938928286705,0.31490005497203155
32,1,700,tail_anchored,32768,tail_anchored,0.010148143388847963,0.10073799377021543,0.875,1.0,0.3447959063717273,0.40864330035286317
33,1,701,full,32768,full,0.018778733164457835,0.1370355178939308,0.75,0.875,0.33148450603351826,0.39527699042839615
34,1,701,tail_fixed,32768,tail_fixed,0.0739376033142714,0.27191469859915884,0.5,0.5,0.24268628882582624,0.28914339048908055
35,1,701,tail_anchored,32768,tail_anchored,0.01856184478869701,0.13624186136682445,0.75,0.75,0.33251947266613524,0.3951752898257583
36,1,702,full,32768,full,0.011573024369960867,0.107577992033505,1.0,1.0,0.3327812400063598,0.39569501686164316
37,1,702,tail_fixed,32768,tail_fixed,0.00546567730048066,0.07393021912912649,1.0,1.0,0.31277484969223757,0.37254601425011985
38,1,702,tail_anchored,32768,tail_anchored,0.00933245521194094,0.09660463349105436,1.0,1.0,0.33125508723970254,0.3939399962055697
39,1,703,full,32768,full,0.020444972029562514,0.14298591549366851,0.875,0.875,0.3441649305010037,0.4082277623259363
40,1,703,tail_fixed,32768,tail_fixed,0.023454616241217387,0.1531490001313015,0.5,0.875,0.32079604273142215,0.37979892638819157
41,1,703,tail_anchored,32768,tail_anchored,0.021999775462708676,0.1483232128249273,0.5,0.75,0.3287308116274652,0.389601666166842
42,1,704,full,32768,full,0.00490671630525011,0.0700479571811349,1.0,1.0,0.3420048161944053,0.40690805728910906
43,1,704,tail_fixed,32768,tail_fixed,0.024071624826779048,0.15515032976690396,0.625,0.75,0.2973913104828827,0.35414540021168206
44,1,704,tail_anchored,32768,tail_anchored,0.004239807991263962,0.06511380799234492,1.0,1.0,0.35334219955495894,0.41882464985617746
45,1,705,full,32768,full,0.009526867885852039,0.09760567547971807,1.0,1.0,0.3277420133920963,0.3882725352592067
46,1,705,tail_fixed,32768,tail_fixed,0.021493490138829126,0.14660658286321637,0.75,0.75,0.29595666859887837,0.3505264519697887
47,1,705,tail_anchored,32768,tail_anchored,0.010612311926569317,0.10301607605888179,1.0,1.0,0.32191835930205465,0.38352067660426925
48,1,706,full,32768,full,0.0064791966135161584,0.08049345696089936,1.0,1.0,0.3258620620147036,0.3855579187906707
49,1,706,tail_fixed,32768,tail_fixed,0.01847472077560297,0.13592174504325263,0.5,0.75,0.273926077032419,0.32787797193848556
50,1,706,tail_anchored,32768,tail_anchored,0.009875974281233442,0.09937793659174778,0.875,1.0,0.3248104644562958,0.38611664834918874
51,1,707,full,32768,full,0.0037629244790355378,0.06134268072912642,1.0,1.0,0.3439200105985185,0.4084488447476796
52,1,707,tail_fixed,32768,tail_fixed,0.02755115956437381,0.16598541973430622,0.375,0.625,0.26212253750847914,0.3112190914836094
53,1,707,tail_anchored,32768,tail_anchored,0.0048416574030643224,0.06958201925112782,1.0,1.0,0.3345087513560626,0.3976831588799793
54,1,708,full,32768,full,0.009211379836615241,0.09597593363242288,1.0,1.0,0.32749267057836945,0.39051764349877194
55,1,708,tail_fixed,32768,tail_fixed,0.012986794109318266,0.11395961613360352,0.875,0.875,0.3062994253229992,0.364926409945027
56,1,708,tail_anchored,32768,tail_anchored,0.009832392468388799,0.09915842106643691,0.875,1.0,0.3287548115157412,0.38947118407980374
57,1,709,full,32768,full,0.014965948750749638,0.12233539451340171,0.75,0.875,0.3446310129671973,0.40819646681116734
58,1,709,tail_fixed,32768,tail_fixed,0.02795268902755655,0.1671905769699852,0.625,0.75,0.3199690119302375,0.38152459988487164
59,1,709,tail_anchored,32768,tail_anchored,0.014375998025017576,0.11989995006261502,0.75,0.875,0.339205436283946,0.40473341427905646
60,2,700,full,32768,full,0.010417385024095047,0.10206559177359943,0.875,1.0,0.33263969670615545,0.3961244759508955
61,2,700,tail_fixed,32768,tail_fixed,0.029699005023479393,0.17233399265228957,0.625,0.625,0.2586704726509462,0.30809530186405354
62,2,700,tail_anchored,32768,tail_anchored,0.009926350693300773,0.09963107293059115,0.875,1.0,0.32714122973092047,0.3899667880769241
63,2,701,full,32768,full,0.013936375599680192,0.11805242733497771,0.75,1.0,0.34028559572967954,0.4052154441003295
64,2,701,tail_fixed,32768,tail_fixed,0.06634967204262031,0.2575843008465778,0.375,0.5,0.2659895249274673,0.31728419087108184
65,2,701,tail_anchored,32768,tail_anchored,0.017603096797277208,0.1326766625947352,0.75,0.75,0.32050577215617204,0.38220783834146144
66,2,702,full,32768,full,0.012664858381433445,0.11253825296952785,1.0,1.0,0.33205842789723405,0.395508402251564
67,2,702,tail_fixed,32768,tail_fixed,0.009106439633569895,0.09542766702361478,0.875,1.0,0.31612094553617853,0.37472611165382713
68,2,702,tail_anchored,32768,tail_anchored,0.010411636697611233,0.10203742792530215,1.0,1.0,0.3274131710930427,0.3890833381476375
69,2,703,full,32768,full,0.020454540056456885,0.14301936951496075,0.75,0.875,0.3375140572248406,0.40118689767620064
70,2,703,tail_fixed,32768,tail_fixed,0.02955651596971686,0.17192008599845704,0.5,0.5,0.30010225889705167,0.35686132680889593
71,2,703,tail_anchored,32768,tail_anchored,0.020867316590239507,0.1444552407849556,0.75,0.875,0.3410231072202559,0.405949634328501
72,2,704,full,32768,full,0.0052178683271816625,0.07223481381703467,1.0,1.0,0.3406929519868657,0.4050023767783095
73,2,704,tail_fixed,32768,tail_fixed,0.024808834300568072,0.15750820391512332,0.75,0.75,0.2863863859684839,0.3410927891874366
74,2,704,tail_anchored,32768,tail_anchored,0.005195392716222972,0.07207907266483783,1.0,1.0,0.3335835682947047,0.396881877707881
75,2,705,full,32768,full,0.01076670921436976,0.10376275446599209,0.75,1.0,0.3358797726835242,0.3992062610389092
76,2,705,tail_fixed,32768,tail_fixed,0.020429214859293533,0.14293080444499545,0.75,0.75,0.2856279401016463,0.3399777238491759
77,2,705,tail_anchored,32768,tail_anchored,0.011359652454273351,0.10658167034848605,0.875,1.0,0.3298773267542382,0.3923629023662778
