batch,cell_id,cell_wall_seconds,checkpoint_sha256,commit,condition,control_delta,critical_batch,dataset_seed,device,diffusion,dimension,ess_threshold,family,final_ess_fraction,finite_normalizer,groups,initialization,ks_mean,learning_w1,mean_absolute_error,method,minimum_ess_fraction,particles,peak_gpu_bytes,positive_mass_error,resampling_count,sampling,score_evaluations,seconds,seed,status,steps,suite,training_seed,true_ks_mean,true_mean_absolute_error,true_positive_mass_error,true_variance_relative_error,true_w1_mean,u_max,variance_relative_error,w1_mean
4,258,14.798998966813087,4f8f7d024dee2ba1d205fcf59f39c4f32d87524ab703a9051d4ad4e7ca38f59f,324a2d406707f9daea94ae5b41dbad7950efa93d,full,,,106,cuda,1.0,8,0.5,learned_mixture,0.843096813862105,True,64,standard normal at finite u_max,0.12400867018826861,0.009720703121853892,0.027877812677890287,full,0.36034891181556006,32768,1383796224,0.006561131285345682,99,with_replacement,4294967296,14.04577874392271,9004106,completed,2048,heldout,4,0.14998888486870154,0.03544864230854617,0.007081548869264036,0.2125275783515323,0.0377681690918298,20.0,0.2141811235587464,0.03146763768566977
4,259,13.089398097246885,4f8f7d024dee2ba1d205fcf59f39c4f32d87524ab703a9051d4ad4e7ca38f59f,324a2d406707f9daea94ae5b41dbad7950efa93d,unbiased,,,106,cuda,1.0,8,0.5,learned_mixture,0.7791632423941647,False,64,standard normal at finite u_max,0.2808231791262873,0.009720703121853892,0.05954792122416764,unbiased,3.067521114588798e-05,32768,202038784,0.009680342438336955,701,without_replacement,268435456,2.969927243888378,9004106,completed,2048,heldout,4,0.2694350139493068,0.056240259188980984,0.010200760022255308,0.45950678566529796,0.06308131375548577,20.0,0.45841076597068486,0.06454228986385441
4,260,4.168202072381973,4f8f7d024dee2ba1d205fcf59f39c4f32d87524ab703a9051d4ad4e7ca38f59f,324a2d406707f9daea94ae5b41dbad7950efa93d,tail,,,106,cuda,1.0,8,0.5,learned_mixture,0.5275824536287378,True,64,standard normal at finite u_max,0.4135316887636925,0.009720703121853892,0.10906554233549316,tail,3.0549874213065594e-05,32768,202038784,0.007431053062133976,487,without_replacement,268435456,3.4116659462451935,9004106,completed,2048,heldout,4,0.4298742186030588,0.11669014463694422,0.007887924221885823,0.36956421128019623,0.1171798097049834,20.0,0.367620946781037,0.10941968792646366
4,261,24.22024854645133,4f8f7d024dee2ba1d205fcf59f39c4f32d87524ab703a9051d4ad4e7ca38f59f,324a2d406707f9daea94ae5b41dbad7950efa93d,full,,,107,cuda,1.0,8,0.5,learned_mixture,0.9589931280258929,True,64,standard normal at finite u_max,0.05912941399980642,0.00770150168053455,0.011558415933444796,full,0.29580529673905276,32768,1383796224,0.0026932764585357928,103,with_replacement,4294967296,14.052488565444946,9004107,completed,2048,heldout,4,0.0853000000973957,0.019254103707433613,0.0026050257517380494,0.18182722408741347,0.02056750937087562,20.0,0.17878895770886694,0.013989554402097853
4,262,3.716595124453306,4f8f7d024dee2ba1d205fcf59f39c4f32d87524ab703a9051d4ad4e7ca38f59f,324a2d406707f9daea94ae5b41dbad7950efa93d,unbiased,,,107,cuda,1.0,8,0.5,learned_mixture,0.6282404645290973,False,64,standard normal at finite u_max,0.2521864068809745,0.00770150168053455,0.058981495092554195,unbiased,3.1697911109772357e-05,32768,202038784,0.009125636614054508,662,without_replacement,268435456,2.9643813632428646,9004107,completed,2048,heldout,4,0.2560396805815015,0.05984482145840987,0.009037385907256765,0.3875806359207019,0.06324623515365538,20.0,0.38496946115307173,0.06178142371600002
4,263,4.154873743653297,4f8f7d024dee2ba1d205fcf59f39c4f32d87524ab703a9051d4ad4e7ca38f59f,324a2d406707f9daea94ae5b41dbad7950efa93d,tail,,,107,cuda,1.0,8,0.5,learned_mixture,0.5282032398378723,True,64,standard normal at finite u_max,0.4020235951891984,0.00770150168053455,0.10772920565653867,tail,0.0001676305600245658,32768,202038784,0.0107676831209088,423,without_replacement,268435456,3.390435166656971,9004107,completed,2048,heldout,4,0.42516678590533985,0.11509238909235146,0.010679432414111057,0.3007397265933692,0.1156260391365472,20.0,0.29781204545185713,0.10840414640142236
4,264,24.213296867907047,4f8f7d024dee2ba1d205fcf59f39c4f32d87524ab703a9051d4ad4e7ca38f59f,324a2d406707f9daea94ae5b41dbad7950efa93d,full,,,108,cuda,1.0,8,0.5,learned_mixture,0.9933521815935915,True,64,standard normal at finite u_max,0.06917881710352972,0.007739576444682574,0.014483384844840424,full,0.3726708523201316,32768,1383796224,0.0047635464070956285,94,with_replacement,4294967296,14.037531964480877,9004108,completed,2048,heldout,4,0.09475820614312362,0.022222959885398196,0.00544665523440728,0.200929491086401,0.023751408143620686,20.0,0.20141095172124882,0.016872567181339705
4,265,3.710605837404728,4f8f7d024dee2ba1d205fcf59f39c4f32d87524ab703a9051d4ad4e7ca38f59f,324a2d406707f9daea94ae5b41dbad7950efa93d,unbiased,,,108,cuda,1.0,8,0.5,learned_mixture,0.9077591721250163,False,64,standard normal at finite u_max,0.1932551893707296,0.007739576444682574,0.04220117380765915,unbiased,3.0897107575631995e-05,32768,202038784,0.011633879004548348,635,without_replacement,268435456,2.9627767875790596,9004108,completed,2048,heldout,4,0.20682000637900147,0.04649160617950701,0.010951644464437804,0.3948739560746701,0.048583337688746654,20.0,0.39511511540557104,0.04599892317679158
4,266,4.181333903223276,4f8f7d024dee2ba1d205fcf59f39c4f32d87524ab703a9051d4ad4e7ca38f59f,324a2d406707f9daea94ae5b41dbad7950efa93d,tail,,,108,cuda,1.0,8,0.5,learned_mixture,0.5491778815372537,True,64,standard normal at finite u_max,0.4079021978023799,0.007739576444682574,0.10649667836055626,tail,3.53448737171718e-05,32768,202038784,0.0030504248237770704,451,without_replacement,268435456,3.4039975740015507,9004108,completed,2048,heldout,4,0.4281231643365765,0.11375838250246709,0.003733533651088722,0.3804070296845479,0.11807081764525769,20.0,0.380901449733706,0.11120496054313349
4,267,14.80935975164175,4f8f7d024dee2ba1d205fcf59f39c4f32d87524ab703a9051d4ad4e7ca38f59f,324a2d406707f9daea94ae5b41dbad7950efa93d,full,,,109,cuda,1.0,8,0.5,learned_mixture,0.7899998982009041,True,64,standard normal at finite u_max,0.06099669405027279,0.006593892137921133,0.011920696342688563,full,0.31808187404698485,32768,1383796224,0.01176636656068519,97,with_replacement,4294967296,14.056555580347776,9004109,completed,2048,heldout,4,0.08284031501803973,0.01846912964206013,0.015439054379012562,0.18200167381872887,0.019967187870737407,20.0,0.18124366284118615,0.014273568094828867
4,268,13.117292366921902,4f8f7d024dee2ba1d205fcf59f39c4f32d87524ab703a9051d4ad4e7ca38f59f,324a2d406707f9daea94ae5b41dbad7950efa93d,unbiased,,,109,cuda,1.0,8,0.5,learned_mixture,0.5252635022145218,False,64,standard normal at finite u_max,0.17355159853043986,0.006593892137921133,0.03301668727765588,unbiased,3.058752546445679e-05,32768,202038784,0.03657760485183713,650,without_replacement,268435456,2.961791031062603,9004109,completed,2048,heldout,4,0.1758874595901949,0.03358162240328089,0.03493916802747732,0.4170665728299341,0.038112856653766625,20.0,0.41562124795911115,0.038018575184982285
4,269,4.145442850887775,4f8f7d024dee2ba1d205fcf59f39c4f32d87524ab703a9051d4ad4e7ca38f59f,324a2d406707f9daea94ae5b41dbad7950efa93d,tail,,,109,cuda,1.0,8,0.5,learned_mixture,0.8709523728276498,True,64,standard normal at finite u_max,0.2957442193588013,0.006593892137921133,0.0777694747527128,tail,0.00012219849164236775,32768,202038784,0.028572408951456393,396,without_replacement,268435456,3.381756726652384,9004109,completed,2048,heldout,4,0.30367021873558,0.08134546706872582,0.031116514638216908,0.321394446086234,0.08344308095058008,20.0,0.32008706705123746,0.07997428890364047
