all_strongest_batch_count,bad_event_lower_probability,batch,cell_id,commit,device,diffusion,dimension,ess_fraction,ess_threshold,family,final_ess_fraction,finite_population_normalizer,full_exact_log_normalizer,full_exact_variance,groups,initialization,kind,ks_mean,largest_normalized_weight,log_normalizer,mean_absolute_error,method,minimum_ess_fraction,nonintegrable_batch_count,particles,peak_gpu_bytes,positive_mass_error,potential_mse,relative_path,resampling_count,score_evaluations,score_mse,seconds,seed,status,steps,u_max,variance_relative_error,w1_mean,weighted_mean,weighted_variance
,,4,27,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,1,,0.5,mixture,0.6292871884798861,,,,16,standard normal at finite u_max,tail,0.021226534486603832,,,0.04989226995505358,tail_cumulant,0.49600438948674136,,8192,5310976,0.019558739268831116,,task_003/cell_0027,2,134217728,,7.303610682487488,3,completed,2048,20.0,0.007820097296622142,0.05059480081431408,,
,,4,28,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,1,,0.5,mixture,0.9576473122297096,,,,16,standard normal at finite u_max,tail,0.01539649861312603,,,0.0006407424555840424,tail,0.4978040986780324,,8192,5179904,0.0033782686799053163,,task_004/cell_0028,1,67108864,,4.18544028699398,4,completed,2048,20.0,0.02654380294618397,0.01808867849220828,,
,,4,29,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,1,,0.5,mixture,0.6828619951626822,,,,16,standard normal at finite u_max,tail,0.02900601470441655,,,0.06771045199560002,tail_cumulant,0.4841605629154373,,8192,5310976,0.022719407146336634,,task_005/cell_0029,1,134217728,,7.385658618062735,4,completed,2048,20.0,0.01125067093593013,0.06789675680540559,,
,,4,30,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,8,,0.5,mixture,0.7055407210049706,,,,16,standard normal at finite u_max,tail,0.607859804161474,,,1.40321682975231,tail,0.00019824297988297668,,8192,37755904,0.5558382146787023,,task_006/cell_0030,22,4194304,,0.27101683616638184,0,completed,128,20.0,0.9661222334207576,1.4034393624870496,,
,,4,31,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,8,,0.5,mixture,0.7403930238830482,,,,16,standard normal at finite u_max,tail,0.18210399241687186,,,0.29002928112923254,tail_cumulant,0.19454850863906842,,8192,38345728,0.11185899867034109,,task_007/cell_0031,15,8388608,,0.4739160016179085,0,completed,128,20.0,0.16099178846332024,0.33530355549757596,,
,,4,32,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,8,,0.5,mixture,0.7466334969124515,,,,16,standard normal at finite u_max,tail,0.5839590028626584,,,1.3329136446135912,tail,0.0006994377976100171,,8192,37755904,0.5417140552114151,,task_008/cell_0032,21,4194304,,0.28645994886755943,1,completed,128,20.0,0.9614956744988495,1.3432082091506259,,
,,4,33,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,8,,0.5,mixture,0.6826394892979271,,,,16,standard normal at finite u_max,tail,0.3614979001909808,,,0.7912672078166945,tail_cumulant,0.13597870432858256,,8192,38345728,0.3077521858461268,,task_009/cell_0033,15,8388608,,0.4688340425491333,1,completed,128,20.0,0.30734777734524055,0.7959440709848327,,
,,4,34,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,8,,0.5,mixture,0.6678774828967926,,,,16,standard normal at finite u_max,tail,0.5719705017433064,,,1.292884381298146,tail,0.002851372561442166,,8192,37755904,0.5295379839527367,,task_010/cell_0034,21,4194304,,0.2748647853732109,2,completed,128,20.0,0.8951392287709288,1.2949953512056824,,
,,4,35,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,8,,0.5,mixture,0.7574419785835539,,,,16,standard normal at finite u_max,tail,0.14568208743689604,,,0.26620383241420836,tail_cumulant,0.05819302393810798,,8192,38345728,0.09999169599808723,,task_011/cell_0035,15,8388608,,0.47883814573287964,2,completed,128,20.0,0.13081419724734702,0.2819074488090877,,
,,4,36,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,8,,0.5,mixture,0.7209940254996274,,,,16,standard normal at finite u_max,tail,0.5893523694551639,,,1.3905528426162657,tail,0.0007575262425210177,,8192,37755904,0.5548759520127013,,task_000/cell_0036,22,4194304,,0.2709345147013664,3,completed,128,20.0,0.955522327697949,1.3905931468856894,,
