anchor_preparation,batch,cell_id,dataset_seed,diffusion,dimension,ess_fraction,factor_calls,family,groups,ks_mean,line,log_normalizer,mean_absolute_error,method,particles,phase,positive_mass_error,preparation_calls,preparation_derivative_calls,projection_seed,repeat,resampling_count,seconds,seconds_including_preparation,seed,setting_id,sign_joint_tv,sliced_reference_samples,sliced_w1_32,standardized_offdiagonal_second_rms,status,steps,training_seed,true_ks_mean,true_mean_absolute_error,true_positive_mass_error,true_variance_relative_error,true_w1_mean,u_max,variance_relative_error,w1_mean
,4,30,700,1.0,8,0.5,4294967296,learned,64,0.061616150105685635,anchored_equivalent_replay,150.58996381356806,0.012835890025222133,full,32768,confirmation,0.00031603492379753297,0,0,20260921,0,100,6.01288340613246,6.01288340613246,21027010,full,0.0025175751423065665,32768,0.01471280309387756,0.048717044778117016,completed,2048,1,0.07097887544943254,0.01628810018642305,0.0002879863808519911,0.1600129175779681,0.01782823205177831,20.0,0.16847831392238272,0.01584051206706913
,4,31,700,1.0,8,0.5,268435456,learned,64,0.372183800220092,anchored_equivalent_replay,1691.9753487565354,0.09941887003106842,tail_fixed,32768,confirmation,0.0004001869253350415,0,0,20260921,0,511,4.240276485681534,4.240276485681534,21027010,tail_fixed,0.003200177862027845,32768,0.11465158901226427,1.379941648046627,completed,2048,1,0.3771231265756871,0.1015545434535699,0.0003747286794449356,0.4811895885474582,0.10937900500076095,20.0,0.48642773531652683,0.10747304180077935
"{'preparation_calls': 917504, 'preparation_seconds': 0.6194060072302818, 'preparation_factor_calls_per_grid_point': 448, 'newton_iterations': 6, 'anchor_grid_points': 2048, 'anchor_rule': 'parameter-only six-step clipped Newton fixed-point iteration'}",4,32,700,1.0,8,0.5,269352960,learned,64,0.07608752929486443,anchored_equivalent_replay,151.74892231508926,0.019125814660323148,tail_anchored,32768,confirmation,0.000307650339358867,917504,786432,20260921,0,115,3.8029168769717216,3.8029168769717216,21027010,tail_anchored,0.0024598851742180365,32768,0.019373266752429646,0.08139176854943896,completed,2048,1,0.08630205885296788,0.022189715659562105,0.00028219209346876106,0.12190997508665617,0.023627846952678694,20.0,0.12919372146595634,0.02081762136121986
,4,33,701,1.0,8,0.5,4294967296,learned,64,0.06985706824194424,anchored_equivalent_replay,125.69061700746259,0.01586958111962445,full,32768,confirmation,3.490250992062294e-05,0,0,20260921,0,99,6.239743310958147,6.239743310958147,21027020,full,0.0002792165164550311,32768,0.016277570602808752,0.035536839470789505,completed,2048,1,0.07452897580242711,0.01707444518658864,3.1521651053592614e-05,0.15050130739418938,0.018523004224580142,20.0,0.15890562766668426,0.01662343625531793
,4,34,701,1.0,8,0.5,268435456,learned,64,0.47890878324667735,anchored_equivalent_replay,1478.096822962345,0.13761356124519977,tail_fixed,32768,confirmation,3.490250992040089e-05,0,0,20260921,0,487,4.260318364948034,4.260318364948034,21027020,tail_fixed,0.0002792165164551421,32768,0.14977771849762211,2.254367009136939,completed,2048,1,0.48373317794682213,0.13951057177778103,3.152165105337057e-05,0.5435000770850693,0.14417329406024887,20.0,0.5482198567062206,0.14249850282264417
"{'preparation_calls': 917504, 'preparation_seconds': 0.6182553246617317, 'preparation_factor_calls_per_grid_point': 448, 'newton_iterations': 6, 'anchor_grid_points': 2048, 'anchor_rule': 'parameter-only six-step clipped Newton fixed-point iteration'}",4,35,701,1.0,8,0.5,269352960,learned,64,0.047815250264964096,anchored_equivalent_replay,123.61174781185515,0.009639359177706294,tail_anchored,32768,confirmation,2.5596253448653683e-05,917504,786432,20260921,0,106,3.806477550417185,3.806477550417185,21027020,tail_anchored,0.00020476646467541135,32768,0.0128896209354986,0.04903913539777995,completed,2048,1,0.05555513313525487,0.011641264906217315,2.221539458162336e-05,0.147012039737396,0.015639971452964214,20.0,0.15557471360702818,0.013246615025814635
,4,36,702,1.0,8,0.5,4294967296,learned,64,0.05915262452256625,anchored_equivalent_replay,72.10151482810423,0.011768426618121223,full,32768,confirmation,0.002015041416668098,0,0,20260921,0,93,6.140717934817076,6.140717934817076,21027030,full,0.016108106501841656,32768,0.0141072940287239,0.027921664753173328,completed,2048,1,0.05759422695169799,0.011186111354291445,0.000718328539401375,0.1739524240110381,0.014363554408368569,20.0,0.17580101258589495,0.01444597231274898
,4,37,702,1.0,8,0.5,268435456,learned,64,0.2995357731037743,anchored_equivalent_replay,276.91853796487084,0.07862841279757095,tail_fixed,32768,confirmation,0.013070619006233256,0,0,20260921,0,321,4.221015058457851,4.221015058457851,21027030,tail_fixed,0.10455272721836442,32768,0.08386176342370025,0.6669487163183326,completed,2048,1,0.2982990798008751,0.07858761123056504,0.011773906128966533,0.26735259396835503,0.07981786693685068,20.0,0.2690809483421077,0.08066042079606522
"{'preparation_calls': 917504, 'preparation_seconds': 0.6243750602006912, 'preparation_factor_calls_per_grid_point': 448, 'newton_iterations': 6, 'anchor_grid_points': 2048, 'anchor_rule': 'parameter-only six-step clipped Newton fixed-point iteration'}",4,38,702,1.0,8,0.5,269352960,learned,64,0.10503228740990983,anchored_equivalent_replay,70.09192608771195,0.025188611993897554,tail_anchored,32768,confirmation,0.0003564323360701893,917504,786432,20260921,0,103,3.8149045258760452,3.8149045258760452,21027030,tail_anchored,0.002796311889894704,32768,0.028454374899281307,0.09176829464424674,completed,2048,1,0.09945555346494037,0.023595905300490883,0.001650790685554418,0.17857304820723363,0.025211599423753627,20.0,0.18045375321862572,0.026284305250632037
,4,39,703,1.0,8,0.5,4294967296,learned,64,0.05949372078833033,anchored_equivalent_replay,97.65420439334106,0.012609387909043774,full,32768,confirmation,0.011270310131068564,0,0,20260921,0,94,6.014388140290976,6.014388140290976,21027040,full,0.06588241467913526,32768,0.014192590215381553,0.06360256564743123,completed,2048,1,0.06532685986533707,0.014592605649596064,0.01087160487591167,0.13862149015811687,0.017019294014054602,20.0,0.14561681809360633,0.015425254835553508
,4,40,703,1.0,8,0.5,268435456,learned,64,0.24446563550472367,anchored_equivalent_replay,499.8001954451575,0.0669869962253874,tail_fixed,32768,confirmation,0.015519539712206959,0,0,20260921,0,403,4.245281107723713,4.245281107723713,21027040,tail_fixed,0.07813332453252364,32768,0.08061341790806137,0.48643851947681505,completed,2048,1,0.24231080664334964,0.0664234931462026,0.015824185318136397,0.2480222029560417,0.0682291139603951,20.0,0.25406641818886344,0.06949478334702769
"{'preparation_calls': 917504, 'preparation_seconds': 0.756296630948782, 'preparation_factor_calls_per_grid_point': 448, 'newton_iterations': 6, 'anchor_grid_points': 2048, 'anchor_rule': 'parameter-only six-step clipped Newton fixed-point iteration'}",4,41,703,1.0,8,0.5,269352960,learned,64,0.14467984953443846,anchored_equivalent_replay,101.03630922993202,0.03653316676622151,tail_anchored,32768,confirmation,0.017708650330954118,917504,786432,20260921,0,108,3.9984753914177418,3.9984753914177418,21027040,tail_anchored,0.09755459548712529,32768,0.04105964327018127,0.12972942865621703,completed,2048,1,0.14356521492105706,0.03632354312251806,0.018013295936883555,0.21364814110148694,0.03659784870646532,20.0,0.22025404031517495,0.03690637324568019
,4,42,704,1.0,8,0.5,4294967296,learned,64,0.06032294842288328,anchored_equivalent_replay,92.949935418968,0.013161684800101749,full,32768,confirmation,0.00969191897358613,0,0,20260921,0,93,6.028218347579241,6.028218347579241,21027050,full,0.05792249587883937,32768,0.013820688573761236,0.02658619674065765,completed,2048,1,0.06587180964475566,0.015074782933415735,0.01368709158000165,0.1551700264981027,0.016604433221209674,20.0,0.16498367383923546,0.014846867042938377
,4,43,704,1.0,8,0.5,268435456,learned,64,0.34446029368649034,anchored_equivalent_replay,715.7911838888334,0.09191100850420895,tail_fixed,32768,confirmation,0.04223626454535837,0,0,20260921,0,420,4.228914592415094,4.228914592415094,21027050,tail_fixed,0.2517807844520604,32768,0.10440474369813743,0.9164898278658591,completed,2048,1,0.3389530380030997,0.09026702604717678,0.04078245772448096,0.35694920995263174,0.09302623253207633,20.0,0.36445006792804724,0.09376349245946967
"{'preparation_calls': 917504, 'preparation_seconds': 0.6752818711102009, 'preparation_factor_calls_per_grid_point': 448, 'newton_iterations': 6, 'anchor_grid_points': 2048, 'anchor_rule': 'parameter-only six-step clipped Newton fixed-point iteration'}",4,44,704,1.0,8,0.5,269352960,learned,64,0.04420505453245058,anchored_equivalent_replay,94.13985692640564,0.009480974249775478,tail_anchored,32768,confirmation,0.005475905426085163,917504,786432,20260921,0,106,3.8686214685440063,3.8686214685440063,21027050,tail_anchored,0.02853154897958623,32768,0.009691604492533534,0.07029647725654224,completed,2048,1,0.04641451483286385,0.009495617195757014,0.007074107882221563,0.13164240356174678,0.011640875632777832,20.0,0.1370396392896739,0.011550013444331582
,4,45,705,1.0,8,0.5,4294967296,learned,64,0.05842484245616897,anchored_equivalent_replay,138.50173928094534,0.011012659030108986,full,32768,confirmation,3.1750918475792478e-06,0,0,20260921,0,94,6.0131619945168495,6.0131619945168495,21027060,full,2.5400553204752793e-05,32768,0.01301049133932375,0.02797158627952939,completed,2048,1,0.06430752677190027,0.012806215310013538,3.2864561416851013e-06,0.17959854801542777,0.015643939192450072,20.0,0.18850388542136043,0.01421339841673274
,4,46,705,1.0,8,0.5,268435456,learned,64,0.3358479282215773,anchored_equivalent_replay,868.1463099252202,0.08852271296757803,tail_fixed,32768,confirmation,3.175091847634759e-06,0,0,20260921,0,468,4.24731969460845,4.24731969460845,21027060,tail_fixed,2.54005531988131e-05,32768,0.07421319562026457,0.7792899229999984,completed,2048,1,0.3473021896756013,0.09194959836604416,3.2864561417406124e-06,0.32551603254351946,0.09265606459485906,20.0,0.3331609767315585,0.08925630625638004
