batch,cell_id,commit,device,diffusion,dimension,ess_threshold,family,final_ess_fraction,groups,independent_ks_mean,independent_mean_absolute_error,independent_positive_mass_error,independent_variance_relative_error,independent_w1_mean,initialization,integrability_certificate,joint_sign_total_variation,ks_mean,mean_absolute_error,method,minimum_ess_fraction,off_diagonal_correlation_rms,particles,peak_gpu_bytes,positive_mass_error,resampling_count,score_evaluations,seconds,seed,status,steps,u_max,variance_relative_error,w1_mean
4,680,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,mixture,0.9999999999999984,64,0.19192282049719356,0.41377357434824424,0.1690962770002638,0.21028997086121204,0.4147862836873586,standard normal at finite u_max,finite,0.16909627700026617,0.19192282049719356,0.41377357434824424,unweighted,0.9999999999999987,0.0,8192,42406912,0.16909627700026642,0,268435456,0.6542491465806961,2,completed,512,20.0,0.2102899708612127,0.4147868309166266
4,708,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,mixture,0.9999999999999984,64,0.18872791665230426,0.4008695822546393,0.1642134645002638,0.20239117248588867,0.40251756979935516,standard normal at finite u_max,finite,0.16421346450026617,0.18872791665230426,0.4008695822546393,unweighted,0.9999999999999987,0.0,8192,42406912,0.16421346450026636,0,1073741824,2.2751727029681206,1,completed,2048,20.0,0.20239117248588911,0.40251769310043695
4,736,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,8,0.5,mixture,0.9999999999999984,64,0.1819355217070847,0.4004517265526517,0.1642592408674512,0.20611743023933138,0.4011730743885525,standard normal at finite u_max,finite,0.37744760287456447,0.1819355217070847,0.4004517265526517,unweighted,0.9999999999999987,0.007840160111821622,8192,337420288,0.16425924086745392,0,67108864,0.48556336015462875,0,completed,128,20.0,0.20611743023933196,0.401172370820564
4,764,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,8,0.5,mixture,0.9999999999999984,64,0.18159764610203197,0.401525748522713,0.1645338990705762,0.20634319389075426,0.4021085296830379,standard normal at finite u_max,finite,0.37003750611986597,0.18159764610203197,0.401525748522713,unweighted,0.9999999999999987,0.009771188691787946,8192,337420288,0.16453389907057892,0,67108864,0.48831677436828613,4,completed,128,20.0,0.2063431938907548,0.40210934866305403
4,792,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,8,0.5,mixture,0.9999999999999984,64,0.1858571794438309,0.39797474839409874,0.1635268189924512,0.2059816431040748,0.39927745987764984,standard normal at finite u_max,finite,0.3736499297979688,0.18585717944383087,0.39797474839409863,unweighted,0.9999999999999987,0.01112663597536582,8192,337420288,0.16352681899245392,0,268435456,1.882596492767334,3,completed,512,20.0,0.20598164310407532,0.3992773709526174
4,820,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,8,0.5,mixture,0.9999999999999984,64,0.19005743575208556,0.40685175496748305,0.1666853883283887,0.20599585241301147,0.4083390721051624,standard normal at finite u_max,finite,0.3778904862871532,0.19005743575208556,0.40685175496748294,unweighted,0.9999999999999987,0.011748842067687828,8192,337420288,0.16668538832839142,0,1073741824,7.476098999381065,2,completed,2048,20.0,0.20599585241301202,0.4083389963215802
4,848,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,weak_mixture,0.9999999999999984,16,0.04863884371838195,0.0051369584805792436,0.005164966357662171,0.2900362660089155,0.05958839321454873,standard normal at finite u_max,finite,0.005164966854157377,0.04863884371838195,0.005136958480579287,unweighted,0.9999999999999987,0.0,8192,10948608,0.005164966854157571,0,16777216,0.15193770825862885,1,completed,128,20.0,0.2900362660089152,0.05958766571481276
4,876,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,weak_mixture,0.9999999999999984,16,0.05264438149981443,0.001607988574711958,0.0027696039548378293,0.32900330977531234,0.06782646976512637,standard normal at finite u_max,finite,0.0027696034583426232,0.05264438149981443,0.0016079885747119164,unweighted,0.9999999999999987,0.0,8192,10948608,0.002769603458342429,0,67108864,0.5745166838169098,0,completed,512,20.0,0.3290033097753121,0.06782649278139409
4,904,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,weak_mixture,0.9999999999999984,16,0.05254331771683107,0.00012772108001991335,0.006187572704837829,0.32153727868702,0.06914274475151724,standard normal at finite u_max,finite,0.006187572208342623,0.05254331771683107,0.00012772108001987172,unweighted,0.9999999999999987,0.0,8192,10948608,0.006187572208342429,0,67108864,0.5770097896456718,4,completed,512,20.0,0.32153727868701987,0.06914340247095456
4,932,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,weak_mixture,0.9999999999999984,16,0.0481746015445189,0.00020647836179197784,0.0026475336423378293,0.31040470906948614,0.06475399470561191,standard normal at finite u_max,finite,0.0026475331458426232,0.0481746015445189,0.00020647836179201948,unweighted,0.9999999999999987,0.0,8192,10948608,0.002647533145842429,0,268435456,2.2819745615124702,3,completed,2048,20.0,0.31040470906948603,0.06475355827918762
